,t,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Reservoir0.Q,Reservoir0.W,Reservoir0.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,PV.Pdim,Grid.P,Grid.Psell,Grid.Pbuy,EB.P_bal,Battery.E,Battery.P,Battery.Pch,Battery.Pdisc,Battery.SOC,Battery.Pdim,Battery.Edim,p1r0_expanded.Q,p1c1_Q_expanded.Q,ebp1_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,ebp2_expanded.P,c1r1_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,bat_eb_expanded.P
0,0.0,-2.0,3.0,101.5,0.0,5.0,92.5,2.0,-2.0,2.0,0.0,0.0,8.999999999999996,615.1828996322963,0.0,0.0,0.0,0.0,0.0,8.999999999999996,615.1828996322963,0.0,0.0,0.0,0.0,8.999999999999996,92.5,101.5,8.999999999999996,1.0,1.0,-97999.99999999996,,73934.7115516662,73934.7115516662,0.0,0.0,24165.288448333737,24065.288448333737,26739.209387037485,0.0,0.24165288448333735,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,73934.7115516662,-97999.99999999996,24065.288448333755
1,1.0,0.0,3.0,101.5,0.0,5.0,92.5,0.0,0.0,0.0,0.0,0.0,9.000000000000005,615.1828996322965,0.0,0.0,0.0,0.0,0.0,9.000000000000005,615.1828996322965,0.0,0.0,0.0,0.0,9.000000000000005,92.5,101.5,9.000000000000005,0.0,1.0,-97999.99999999996,,122165.28844833365,122165.28844833365,0.0,0.0,0.0,-24165.288448333737,0.0,26850.320498148594,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122165.28844833365,-97999.99999999996,-24165.288448333697
2,2.0,0.0,3.0,101.5,0.0,5.0,92.5,0.0,0.0,0.0,0.0,0.0,9.0,615.1828996322964,0.0,0.0,0.0,0.0,0.0,9.0,615.1828996322964,0.0,0.0,0.0,0.0,9.0,92.5,101.5,9.0,0.0,1.7,-100000.0,,25400.390625000015,25400.390625000015,0.0,0.0,74599.60937499999,74599.60937499999,82888.4548611111,0.0,0.7459960937499999,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25400.390625000015,-100000.0,74599.60937499999
3,3.0,0.0,3.0,101.5,0.0,5.0,92.5,0.0,0.0,0.0,0.0,0.0,9.0,615.1828996322964,0.0,0.0,0.0,0.0,0.0,9.0,615.1828996322964,0.0,0.0,0.0,0.0,9.0,92.5,101.5,9.0,0.0,0.5,-48999.99999999999,,23599.609374999993,23599.609374999993,0.0,0.0,99999.99999999999,25400.390625000004,28222.656250000004,0.0,0.9999999999999999,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23599.609374999993,-48999.99999999999,25400.390625
4,4.0,-0.6000000000000005,2.3999999999999995,101.2,-8.881784197001252e-16,4.999999999999999,92.5,0.6,-0.6000000000000005,0.6,0.0,0.0,8.700000000000003,604.8429548238123,0.0,0.0,0.0,0.0,0.0,8.700000000000003,604.8429548238123,0.0,0.0,0.0,0.0,8.700000000000003,92.5,101.2,8.700000000000003,1.0,0.0,0.0,,90000.0,90000.0,0.0,0.0,10000.0,-89999.99999999999,0.0,99999.99999999999,0.1,,,0.0,0.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,-0.6000000000000005,90000.0,0.0,-90000.0
5,5.0,-2.0000000000000004,0.3999999999999992,100.2,-8.881784197001252e-16,4.999999999999998,92.5,2.0,-2.0000000000000004,2.0,0.0,0.0,7.699999999999983,569.0210892401084,0.0,0.0,0.0,0.0,0.0,7.6999999999999815,569.0210892401083,0.0,0.0,0.0,0.0,7.699999999999983,92.50000000000001,100.2,7.699999999999983,1.0,1.0,-97999.99999999999,,72599.60937499999,72599.60937499999,0.0,0.0,35400.390625,25400.390624999996,28222.656249999996,0.0,0.35400390625,,,0.0,0.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,-2.0000000000000004,72599.60937499999,-97999.99999999999,25400.390625
6,6.0,-5.551115123125783e-17,0.39999999999999913,100.2,-8.881784197001252e-16,4.999999999999997,92.5,0.0,-5.551115123125783e-17,0.0,0.0,0.0,7.700000000000003,569.0210892401091,0.0,0.0,0.0,0.0,0.0,7.700000000000003,569.0210892401091,0.0,0.0,0.0,0.0,7.700000000000003,92.5,100.2,7.700000000000003,1.0,1.0,-97999.99999999999,,50187.49999999999,50187.49999999999,0.0,0.0,83212.89062499997,47812.49999999998,53124.99999999998,0.0,0.8321289062499997,,,0.0,0.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,-5.551115123125783e-17,50187.49999999999,-97999.99999999999,47812.49999999999
7,7.0,2.5000000000000036,2.9000000000000026,101.45,-2.5000000000000036,2.499999999999994,91.25,0.0,4.440892098500626e-16,0.0,0.0,0.0,10.324999999999989,658.912930515102,0.0,0.0,0.0,-2.500000000000003,2.500000000000003,10.324999999999989,660.9042101545424,253220.62500000003,281356.25000000006,1.0,2.500000000000003,10.324999999999989,91.25000000000001,101.45,10.199999999999989,1.0,1.7,-100000.0,,-98143.3593750001,0.0,98143.3593750001,0.0,-4.3655745685100555e-11,-83212.89062500001,0.0,92458.76736111112,0.0,,,0.0,0.0,0.0,-2.5000000000000036,2.500000000000003,281356.25000000006,2.500000000000003,4.440892098500626e-16,-98143.3593750001,-100000.0,-83212.89062499996
8,8.0,0.0,2.9000000000000026,101.45,-4.440892098500626e-16,2.4999999999999933,91.25,0.0,0.0,0.0,0.0,0.0,10.200000000000003,654.9122078569006,0.0,0.0,0.0,0.0,0.0,10.199999999999985,654.9122078569001,0.0,0.0,0.0,0.0,10.200000000000003,91.25,101.45,10.200000000000003,1.0,0.5,-48999.99999999999,,-40999.99999999998,0.0,40999.99999999998,0.0,89999.99999999994,89999.99999999999,99999.99999999999,0.0,0.8999999999999995,,,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,-40999.99999999998,-48999.99999999999,89999.99999999997
9,9.0,-0.6000000000000001,2.3000000000000025,101.15,-4.440892098500626e-16,2.499999999999993,91.25,0.6,-0.6000000000000001,0.6,0.0,0.0,9.89999999999999,645.2092683773224,0.0,0.0,0.0,0.0,0.0,9.89999999999999,645.2092683773224,0.0,0.0,0.0,0.0,9.89999999999999,91.25000000000001,101.15,9.89999999999999,1.0,0.0,0.0,,90000.0,90000.0,0.0,0.0,-4.3655745685100555e-11,-89999.99999999999,0.0,99999.99999999999,0.0,,,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,-0.6000000000000001,90000.0,0.0,-90000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49999.99999999998,,,,,,,,,,90000.0,90000.0,,,,,,,,,,,
