,t,ReservoirEbrew.Q,ReservoirEbrew.W,ReservoirEbrew.z,Reservoir1w.Q,Reservoir1w.W,Reservoir1w.z,Irrigation1w.Q,Irrigation1w.Qin,Irrigation1w.Qout,Pump1w.Qin,Pump1w.Qout,Pump1w.H,Pump1w.n,Pump1w.Ph,Pump1w.Pe,Pump1w.PumpOn,Pump2w.Qin,Pump2w.Qout,Pump2w.H,Pump2w.n,Pump2w.Ph,Pump2w.Pe,Pump2w.PumpOn,Pipe1w.Q,Pipe1w.H,Pipe1w.zlow,Pipe1w.zhigh,Pipe1w.H0,Pipe1w.signQ,PVw.forecast,PVw.P,Gridw.P,Gridw.Psell,Gridw.Pbuy,EBgw.P_bal,EBpvw.P_bal,Batw.E,Batw.P,Batw.Pch,Batw.Pdc,ReservoirEbres.Q,ReservoirEbres.W,ReservoirEbres.z,Reservoir1s.Q,Reservoir1s.W,Reservoir1s.z,Irrigation1s.Q,Irrigation1s.Qin,Irrigation1s.Qout,Pump1s.Qin,Pump1s.Qout,Pump1s.H,Pump1s.n,Pump1s.Ph,Pump1s.Pe,Pump1s.PumpOn,Pump2s.Qin,Pump2s.Qout,Pump2s.H,Pump2s.n,Pump2s.Ph,Pump2s.Pe,Pump2s.PumpOn,Pipe1s.Q,Pipe1s.H,Pipe1s.zlow,Pipe1s.zhigh,Pipe1s.H0,Pipe1s.signQ,PVs.forecast,PVs.P,Grids.P,Grids.Psell,Grids.Pbuy,EBgs.P_bal,EBpvs.P_bal,Bats.E,Bats.P,Bats.Pch,Bats.Pdc,p1r0w_expanded.Q,p1c1_Qw_expanded.Q,p1ebw_expanded.P,p2r0w_expanded.Q,p2c1_Qw_expanded.Q,p2ebw_expanded.P,c1r1_Qw_expanded.Q,r1i1w_expanded.Q,gridebw_expanded.P,pvebw_expanded.P,batebw_expanded.P,p1r0s_expanded.Q,p1c1_Qs_expanded.Q,p1ebs_expanded.P,p2r0s_expanded.Q,p2c1_Qs_expanded.Q,p2ebs_expanded.P,c1r1_Qs_expanded.Q,r1i1s_expanded.Q,gridebs_expanded.P,pvebs_expanded.P,batebs_expanded.P
0,0,-4.758997015907873e-13,199999.99999999828,29.833333333333332,-0.003888888888412989,9986.000000001713,139.60892307692387,0.0038888888888888888,-0.0038888888888888888,0.0038888888888888888,-4.758997015907873e-13,4.758997015907873e-13,109.77558974359054,2756.0765209920974,0.0,0.0,4.580130110719949e-12,0.0,0.0,109.77558974359054,2756.076520992097,0.0,0.0,0.0,4.758997015907873e-13,109.77558974359054,29.833333333333332,139.60892307692387,109.77558974359054,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.547473508864641e-13,199999.99999999837,29.833333333333332,-0.011666666666211918,9958.000000001637,139.59600000000077,0.011666666666666665,-0.011666666666666665,0.011666666666666665,-4.547473508864641e-13,4.547473508864641e-13,109.76266666666744,2755.914289856453,0.0,0.0,4.376556714793167e-12,0.0,0.0,109.76266666666744,2755.914289856452,0.0,0.0,0.0,4.547473508864641e-13,109.76266666666744,29.833333333333332,139.59600000000077,109.76266666666744,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.758997015907873e-13,4.758997015907873e-13,0.0,0.0,0.0,0.0,4.758997015907873e-13,-0.0038888888888888888,0.0,0.0,0.0,-4.547473508864641e-13,4.547473508864641e-13,0.0,0.0,0.0,0.0,4.547473508864641e-13,-0.011666666666666665,0.0,0.0,0.0
1,1,0.0,199999.99999999808,29.83333333333333,-0.006300561886111111,9963.317977211713,139.5984544510208,0.006300561886111111,-0.006300561886111111,0.006300561886111111,0.0,0.0,109.7651211176878,2755.945102786896,0.0,0.0,0.0,0.0,0.0,109.7651211176878,2755.945102786896,0.0,0.0,0.0,0.0,109.7651211176878,29.83333333333333,139.5984544510208,109.76512111768749,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.034750000000530724,199874.89999999644,29.833124833333326,0.019558945469975157,10028.412203693548,139.62849794016626,0.015191054530555555,-0.015191054530555555,0.015191054530555555,-0.03475000000053072,0.03475000000053072,110.1544780430829,2818.7069406310507,37551.386179265355,46939.23272408169,1.0,0.0,0.0,110.1544780430829,2760.82869609976,0.0,0.0,0.0,0.03475000000053071,110.1544780430829,29.833124833333326,139.62849794016626,109.79537310683293,1.0,0.0,0.0,-46939.232724081696,0.0,46939.2327240817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006300561886111111,0.0,0.0,0.0,-0.03475000000053072,0.03475000000053072,46939.23272408169,0.0,0.0,0.0,0.03475000000053071,-0.015191054530555555,-46939.232724081696,0.0,0.0
2,2,-1.9562129693895258e-13,199999.99999999735,29.83333333333333,-0.00489860566591549,9945.682996814417,139.59031522929897,0.004898605666111111,-0.004898605666111111,0.004898605666111111,-1.9562129693895258e-13,1.9562129693895258e-13,109.75698189596564,2755.8429224956567,0.0,0.0,0.0,0.0,0.0,109.75698189596564,2755.8429224956562,0.0,0.0,0.0,1.9562129693895258e-13,109.75698189596564,29.83333333333333,139.59031522929897,109.75698189596564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.044900690923138205,199713.25751267315,29.832855429187788,0.024178875239805997,10115.456154556849,139.66867207133393,0.020721815683333332,-0.020721815683333332,0.020721815683333332,-0.04490069092313842,0.04490069092313886,110.43532646699312,2860.2023725747167,48644.07903299402,60805.098791242526,1.0,0.0,0.0,110.43532646699312,2764.345941953459,0.0,0.0,0.0,0.04490069092313888,110.43532646699312,29.832855429187788,139.66867207133393,109.83581664214618,1.0,0.0,0.0,-60805.09879124253,0.0,60805.098791242526,0.0,0.0,0.0,0.0,0.0,0.0,-1.9562129693895258e-13,1.9562129693895258e-13,0.0,0.0,0.0,0.0,1.9562129693895258e-13,-0.004898605666111111,0.0,0.0,0.0,-0.04490069092313842,0.04490069092313886,60805.098791242526,0.0,0.0,0.0,0.04490069092313888,-0.020721815683333332,-60805.09879124253,0.0,0.0
3,3,0.0,199999.99999999735,29.83333333333333,-0.005808921101649656,9924.770880848479,139.58066348346853,0.005808921101666666,-0.005808921101666666,0.005808921101666666,0.0,0.0,109.7473301501352,2755.7217489732166,0.0,0.0,0.0,0.0,0.0,109.7473301501352,2755.7217489732166,0.0,0.0,0.0,0.0,109.7473301501352,29.83333333333333,139.58066348346853,109.7473301501352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199713.25751267315,29.832855429187788,-0.036180985384444864,9985.204607172847,139.60855597254132,0.03618098538444444,-0.03618098538444444,0.03618098538444444,0.0,0.0,109.77570054335352,2756.077911733839,0.0,0.0,0.0,0.0,0.0,109.77570054335352,2756.0779117338384,0.0,0.0,0.0,0.0,109.77570054335352,29.832855429187788,139.60855597254132,109.77570054335355,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005808921101666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03618098538444444,0.0,0.0,0.0
4,4,0.0,199999.99999999735,29.83333333333333,-0.006556711727222222,9901.166718630478,139.56976925475254,0.006556711727222222,-0.006556711727222222,0.006556711727222222,0.0,0.0,109.73643592141921,2755.584970210408,0.0,0.0,0.0,0.0,0.0,109.73643592141921,2755.584970210408,0.0,0.0,0.0,0.0,109.73643592141921,29.83333333333333,139.56976925475254,109.73643592141921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199713.25751267315,29.832855429187788,-0.032612699326667056,9867.798889596846,139.55436871827547,0.03261269932666667,-0.03261269932666667,0.03261269932666667,0.0,0.0,109.72151328908767,2755.3976030309,0.0,0.0,0.0,0.0,0.0,109.72151328908765,2755.3976030308995,0.0,0.0,0.0,0.0,109.72151328908767,29.832855429187788,139.55436871827547,109.72151328908767,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006556711727222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03261269932666667,0.0,0.0,0.0
5,5,0.0,199999.99999999735,29.83333333333333,-0.007012048015,9875.923345776479,139.55811846728147,0.007012048015,-0.007012048015,0.007012048015,0.0,0.0,109.72478513394815,2755.4386852196158,0.0,0.0,0.0,0.0,0.0,109.72478513394815,2755.4386852196158,0.0,0.0,0.0,0.0,109.72478513394815,29.83333333333333,139.55811846728147,109.72478513394815,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199713.25751267315,29.832855429187788,-0.07031697765555622,9614.657770036842,139.43753435540162,0.07031697765555554,-0.07031697765555554,0.07031697765555554,0.0,0.0,109.6046789262139,2753.9302022539405,0.0,0.0,0.0,0.0,0.0,109.60467892621386,2753.9302022539405,0.0,0.0,0.0,0.0,109.6046789262139,29.832855429187788,139.43753435540162,109.60467892621386,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007012048015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07031697765555554,0.0,0.0,0.0
6,6,0.0,199999.99999999735,29.83333333333333,-0.006066417089444444,9854.084244254478,139.5480388819636,0.006066417089444444,-0.006066417089444444,0.006066417089444444,0.0,0.0,109.71470554863028,2755.312121667221,0.0,0.0,0.0,0.0,0.0,109.71470554863028,2755.312121667221,0.0,0.0,0.0,0.0,109.71470554863028,29.83333333333333,139.5480388819636,109.71470554863028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199713.25751267315,29.832855429187788,-0.09616290988887166,9268.471294436904,139.2777559820478,0.09616290988888887,-0.09616290988888887,0.09616290988888887,0.0,0.0,109.44490055286,2751.9221722555985,0.0,0.0,0.0,0.0,0.0,109.44490055286,2751.9221722555985,0.0,0.0,0.0,0.0,109.44490055286,29.832855429187788,139.2777559820478,109.44490055286,1.0,0.07357298277434086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006066417089444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09616290988888887,0.0,0.0,0.0
7,7,0.0,199999.99999999735,29.83333333333333,-0.005193655942222221,9835.387082862422,139.5394094228596,0.005193655942222221,-0.005193655942222221,0.005193655942222221,0.0,0.0,109.70607608952628,2755.2037618958198,0.0,0.0,0.0,0.0,0.0,109.70607608952628,2755.2037618958207,0.0,0.0,0.0,0.0,109.70607608952628,29.83333333333333,139.5394094228596,109.70607608952628,1.0,0.07477177315670108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04371750715092149,199555.87448692985,29.832593124144886,-0.02189333402685628,9189.655291940222,139.24137936551085,0.06561084117777777,-0.06561084117777777,0.06561084117777777,0.0,0.0,109.97714322225848,2758.6053188053306,0.0,0.0,0.0,-0.043717507150921486,0.043717507150921486,109.97714322225848,2849.7390224648652,47165.75256304362,58957.19070380452,1.0,0.04371750715092148,109.97714322225848,29.832593124144893,139.24137936551085,109.40878624136599,1.0,0.27945187048193765,-58957.19070380452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005193655942222221,0.0,0.0,0.0,0.0,0.0,0.0,-0.043717507150921486,0.043717507150921486,58957.19070380452,0.04371750715092148,-0.06561084117777777,0.0,-58957.19070380452,0.0
8,8,-0.034750000001025225,199874.89999999368,29.833124833333326,0.032566626789580784,9952.626939304912,139.59352012583307,0.002183373211444444,-0.002183373211444444,0.002183373211444444,0.0,0.0,110.11950022874973,2760.390332529062,0.0,0.0,0.0,-0.03475000000102523,0.034750000001025225,110.11950022874973,2818.277579635063,37539.46232922955,46924.32791153694,1.0,0.034750000001025225,110.11950022874973,29.83312483333332,139.59352012583307,109.76039529249972,1.0,0.2358591708815945,-46924.32791153694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07690276553494785,199279.02453100402,29.832131707551675,0.027716320807170052,9289.434046846034,139.28743109854435,0.04918644472777778,-0.04918644472777778,0.04918644472777778,0.0,0.0,111.21399438408463,2774.0743803347264,0.0,0.0,0.0,-0.07690276553494786,0.07690276553494785,111.21399438408461,3045.8258774790343,83901.63121412019,104877.03901765021,1.0,0.07690276553494783,111.21399438408463,29.832131707551675,139.28743109854435,109.45529939099268,1.0,0.4971078908988494,-104877.03901765021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.034750000001025225,0.034750000001025225,46924.32791153694,0.034750000001025225,-0.002183373211444444,0.0,-46924.32791153694,0.0,0.0,0.0,0.0,-0.07690276553494786,0.07690276553494785,104877.03901765021,0.07690276553494783,-0.04918644472777778,0.0,-104877.03901765021,0.0
9,9,0.0,199874.89999999368,29.833124833333326,-0.018940665461666666,9884.440543642912,139.56204948168138,0.018940665461666666,-0.018940665461666666,0.018940665461666666,0.0,0.0,109.72892464834804,2755.49066103586,0.0,0.0,0.0,0.0,0.0,109.72892464834804,2755.49066103586,8.331718486923332e-11,1.0414648108654165e-10,0.0,0.0,109.72892464834804,29.83312483333332,139.56204948168138,109.72892464834804,1.0,0.3846877203897489,-1.0414648108654167e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08049395255504636,198989.2463018059,29.831648743836343,0.03600388906615747,9419.048047484199,139.3472529449927,0.044490063488888884,-0.044490063488888884,0.044490063488888884,0.0,0.0,111.44238845911623,2776.921401527187,0.0,0.0,0.0,-0.08049395255504635,0.08049395255504635,111.44238845911622,3073.1122838496176,88000.00000000001,110000.0,1.0,0.08049395255504635,111.44238845911623,29.831648743836347,139.3472529449927,109.51560420115639,1.0,0.6902159686444646,-110000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0414648108654165e-10,0.0,-0.018940665461666666,0.0,-1.0414648108654167e-10,0.0,0.0,0.0,0.0,-0.08049395255504636,0.08049395255504635,110000.0,0.08049395255504635,-0.044490063488888884,0.0,-110000.0,0.0
10,10,0.0,199874.89999999368,29.833124833333326,-0.01654799571833333,9824.867759056913,139.534554350334,0.01654799571833333,-0.01654799571833333,0.01654799571833333,0.0,0.0,109.70142951700065,2755.1454133060224,0.0,0.0,0.0,0.0,0.0,109.70142951700065,2755.145413306022,1.526047235735112e-11,1.90755904466889e-11,0.0,0.0,109.70142951700065,29.83312483333332,139.534554350334,109.70142951700065,1.0,0.5137134929205837,-1.90755904466889e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08045395814978648,198699.61205246657,29.831166020087444,0.03420269722756423,9542.17775750343,139.40408204192468,0.04625126092222222,-0.04625126092222222,0.04625126092222222,0.0,0.0,111.49780193079135,2777.611514404967,0.0,0.0,0.0,-0.08045395814978647,0.08045395814978645,111.49780193079135,3073.4560573203557,88000.0,109999.99999999999,1.0,0.08045395814978647,111.49780193079135,29.831166020087437,139.40408204192468,109.57291602183726,1.0,0.8271725442451721,-109999.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.90755904466889e-11,0.0,-0.01654799571833333,0.0,-1.90755904466889e-11,0.0,0.0,0.0,0.0,-0.08045395814978648,0.08045395814978645,109999.99999999999,0.08045395814978647,-0.04625126092222222,0.0,-109999.99999999999,0.0
