,t,ReservoirEbrew.Q,ReservoirEbrew.W,ReservoirEbrew.z,Reservoir1w.Q,Reservoir1w.W,Reservoir1w.z,Irrigation1w.Qin,Irrigation1w.Qout,Pump1w.Qin,Pump1w.Qout,Pump1w.H,Pump1w.Ph,Pump1w.Pe,Pump1w.PumpOn,Pump1w.npu2,Pump2w.Qin,Pump2w.Qout,Pump2w.H,Pump2w.Ph,Pump2w.Pe,Pump2w.PumpOn,Pump2w.npu2,Turb1w.Qin,Turb1w.Qout,Turb1w.H,Turb1w.Ph,Turb1w.Pe,Pipe1w.Q,Pipe1w.H,Pipe1w.zlow,Pipe1w.zhigh,Pipe1w.Qp,Pipe1w.Qn,PVw.forecast,PVw.P,Gridw.P,Gridw.Psell,Gridw.Pbuy,EBgw.P_bal,Batw.E,Batw.P,Batw.Pch,Batw.Pdc,ReservoirEbres.Q,ReservoirEbres.W,ReservoirEbres.z,Reservoir1s.Q,Reservoir1s.W,Reservoir1s.z,Irrigation1s.Qin,Irrigation1s.Qout,Pump1s.Qin,Pump1s.Qout,Pump1s.H,Pump1s.Ph,Pump1s.Pe,Pump1s.PumpOn,Pump1s.npu2,Pump2s.Qin,Pump2s.Qout,Pump2s.H,Pump2s.Ph,Pump2s.Pe,Pump2s.PumpOn,Pump2s.npu2,Turb1s.Qin,Turb1s.Qout,Turb1s.H,Turb1s.Ph,Turb1s.Pe,Pipe1s.Q,Pipe1s.H,Pipe1s.zlow,Pipe1s.zhigh,Pipe1s.Qp,Pipe1s.Qn,PVs.forecast,PVs.P,Grids.P,Grids.Psell,Grids.Pbuy,EBgs.P_bal,Bats.E,Bats.P,Bats.Pch,Bats.Pdc,p1r0w_expanded.Q,p1c1_Qw_expanded.Q,p1ebw_expanded.P,p2r0w_expanded.Q,p2c1_Qw_expanded.Q,p2ebw_expanded.P,t1r0w_expanded.Q,t1c1_Qw_expanded.Q,t1ebw_expanded.P,c1r1_Qw_expanded.Q,r1i1w_expanded.Q,gridebw_expanded.P,pvebw_expanded.P,batebw_expanded.P,p1r0s_expanded.Q,p1c1_Qs_expanded.Q,p1ebs_expanded.P,p2r0s_expanded.Q,p2c1_Qs_expanded.Q,p2ebs_expanded.P,t1r0s_expanded.Q,t1c1_Qs_expanded.Q,t1ebs_expanded.P,c1r1_Qs_expanded.Q,r1i1s_expanded.Q,gridebs_expanded.P,pvebs_expanded.P,batebs_expanded.P
0,0,0.0,200000.0,29.833333333333332,-0.0038888888888888888,9985.999999999998,139.6089230769231,-0.0038888888888888888,0.0038888888888888888,0.0,0.0,109.77558974358975,0.0,0.0,0.0,0.9032054446568184,0.0,0.0,109.77558974358975,0.0,0.0,0.0,0.9032054446568184,0.0,0.0,109.77558974358975,0.0,0.0,0.0,109.77558974358975,29.833333333333336,139.6089230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,200000.0,29.833333333333332,-0.011666666666666665,9957.999999999998,139.596,-0.011666666666666665,0.011666666666666665,0.0,0.0,109.76266666666669,0.0,0.0,0.0,0.9030991168888158,0.0,0.0,109.76266666666669,0.0,0.0,0.0,0.9030991168888158,-1.3378187446733138e-14,0.0,109.76266666666669,-1.4429590785681741e-08,-7.2147953928408715e-09,0.0,109.76266666666669,29.833333333333336,139.596,0.0,1.3378187446733138e-14,0.0,0.0,7.214795392840872e-09,0.0,-7.214795392840872e-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3378187446733138e-14,-7.2147953928408715e-09,0.0,-0.011666666666666665,7.214795392840872e-09,0.0,0.0
1,1,0.0,200000.0,29.833333333333332,-0.00630056188611111,9963.317977209997,139.59845445102002,-0.006300561886111111,0.006300561886111111,0.0,0.0,109.76512111768668,0.0,0.0,0.0,0.9031193114833524,0.0,0.0,109.76512111768668,0.0,0.0,0.0,0.9031193114833524,0.0,0.0,109.76512111768668,0.0,0.0,0.0,109.76512111768668,29.833333333333336,139.59845445102002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,200000.0,29.833333333333332,-0.015191054530555555,9903.312203689999,139.57075947862617,-0.015191054530555555,0.015191054530555555,0.0,0.0,109.73742614529283,0.0,0.0,0.0,0.9028914443417214,0.0,0.0,109.73742614529283,0.0,0.0,0.0,0.9028914443417214,0.0,0.0,109.73742614529283,0.0,0.0,0.0,109.73742614529283,29.833333333333336,139.57075947862617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006300561886111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015191054530555555,0.0,0.0,0.0
2,2,0.0,200000.0,29.833333333333332,-0.004898605666111111,9945.682996811998,139.59031522929783,-0.004898605666111111,0.004898605666111111,0.0,0.0,109.75698189596451,0.0,0.0,0.0,0.9030523440510491,0.0,0.0,109.75698189596451,0.0,0.0,0.0,0.9030523440510491,0.0,0.0,109.75698189596451,0.0,0.0,0.0,109.75698189596451,29.833333333333336,139.59031522929783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,200000.0,29.833333333333332,-0.020721815683333332,9828.713667229998,139.5363293848754,-0.020721815683333332,0.020721815683333332,0.0,0.0,109.70299605154207,0.0,0.0,0.0,0.9026081623460759,0.0,0.0,109.70299605154207,0.0,0.0,0.0,0.9026081623460759,-1.3877787807814455e-17,0.0,109.70299605154207,0.0,0.0,0.0,109.70299605154207,29.833333333333336,139.5363293848754,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004898605666111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3877787807814455e-17,0.0,0.0,-0.020721815683333332,0.0,0.0,0.0
3,3,0.0,200000.0,29.833333333333332,-0.005808921101666666,9924.770880845997,139.58066348346742,-0.005808921101666666,0.005808921101666666,0.0,0.0,109.74733015013408,0.0,0.0,0.0,0.9029729319576605,0.0,0.0,109.74733015013408,0.0,0.0,0.0,0.9029729319576605,0.0,0.0,109.74733015013408,0.0,0.0,0.0,109.74733015013408,29.833333333333336,139.58066348346742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,200000.0,29.833333333333332,-0.03618098538444444,9698.462119845997,139.47621328608278,-0.03618098538444444,0.03618098538444444,0.0,0.0,109.64287995274945,0.0,0.0,0.0,0.9021135424777807,0.0,0.0,109.64287995274945,0.0,0.0,0.0,0.9021135424777807,-6.245004513516506e-17,0.0,109.64287995274945,0.0,0.0,0.0,109.64287995274945,29.833333333333336,139.47621328608278,0.0,6.938893903907228e-17,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005808921101666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.245004513516506e-17,0.0,0.0,-0.03618098538444444,0.0,0.0,0.0
4,4,0.0,200000.0,29.833333333333332,-0.006556711727222222,9901.166718628,139.5697692547514,-0.006556711727222222,0.006556711727222222,0.0,0.0,109.73643592141806,0.0,0.0,0.0,0.902883297033224,0.0,0.0,109.73643592141806,0.0,0.0,0.0,0.902883297033224,0.0,0.0,109.73643592141806,0.0,0.0,0.0,109.73643592141806,29.833333333333336,139.5697692547514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,200000.0,29.833333333333332,-0.03261269932666667,9581.056402269996,139.42202603181693,-0.03261269932666667,0.03261269932666667,0.0,0.0,109.58869269848358,0.0,0.0,0.0,0.9016677036241859,0.0,0.0,109.58869269848358,0.0,0.0,0.0,0.9016677036241859,0.0,0.0,109.58869269848358,0.0,0.0,0.0,109.58869269848358,29.833333333333336,139.42202603181693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006556711727222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03261269932666667,0.0,0.0,0.0
5,5,0.0,200000.0,29.833333333333332,-0.007012048015,9875.923345773997,139.55811846728034,-0.007012048015,0.007012048015,0.0,0.0,109.72478513394698,0.0,0.0,0.0,0.9027874373370657,0.0,0.0,109.72478513394698,0.0,0.0,0.0,0.9027874373370657,0.0,0.0,109.72478513394698,0.0,0.0,0.0,109.72478513394698,29.833333333333336,139.55811846728034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,200000.0,29.833333333333332,-0.07031697765555554,9327.915282709999,139.30519166894308,-0.07031697765555554,0.07031697765555554,0.0,0.0,109.47185833560977,0.0,0.0,0.0,0.9007064204015943,0.0,0.0,109.47185833560977,0.0,0.0,0.0,0.9007064204015943,0.0,0.0,109.47185833560977,0.0,0.0,0.0,109.47185833560977,29.833333333333336,139.30519166894308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007012048015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07031697765555554,0.0,0.0,0.0
6,6,0.0,200000.0,29.833333333333332,-0.006066417089444444,9854.084244251999,139.54803888196247,-0.006066417089444444,0.006066417089444444,0.0,0.0,109.71470554862911,0.0,0.0,0.0,0.9027045050899221,0.0,0.0,109.71470554862911,0.0,0.0,0.0,0.9027045050899221,0.0,0.0,109.71470554862911,0.0,0.0,0.0,109.71470554862911,29.833333333333336,139.54803888196247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.03474999999999999,199874.90000000002,29.833124833333333,-0.06141290988888888,9106.828807109998,139.2031517571277,-0.09616290988888887,0.09616290988888887,0.0,0.0,109.37002692379437,0.0,0.0,0.0,0.8998685776188446,-0.03474999999999998,0.03474999999999999,109.37002692379437,37283.96875325416,46604.9609415677,1.0,0.9382673562102545,0.0,0.0,109.37002692379437,0.0,0.0,0.03474999999999998,109.37002692379437,29.83312483333333,139.2031517571277,0.03474999999999998,0.0,0.07357298277434086,-15522.015897026902,-31082.945044540804,0.0,31082.945044540807,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006066417089444444,0.0,0.0,0.0,0.0,0.0,0.0,-0.03474999999999998,0.03474999999999999,46604.9609415677,0.0,0.0,0.0,0.03474999999999998,-0.09616290988888887,-31082.945044540804,-15522.015897026902,0.0
7,7,0.0,200000.0,29.833333333333332,-0.005193655942222221,9835.38708286,139.53940942285845,-0.005193655942222221,0.005193655942222221,0.0,0.0,109.70607608952513,0.0,0.0,0.0,0.9026335041099647,0.0,0.0,109.70607608952513,0.0,0.0,0.0,0.9026335041099647,0.0,0.0,109.70607608952513,0.0,0.0,0.0,109.70607608952513,29.833333333333336,139.53940942285845,0.0,0.0,0.07477177315670108,-15774.929978671118,15774.929978671118,15774.929978671118,0.0,0,0.0,0.0,0.0,0.0,-0.03593617253612257,199745.52977886997,29.83290921629812,-0.029674668641655206,9000.00000000004,139.1538461538462,-0.06561084117777777,0.06561084117777777,0.0,0.0,109.32093693754804,0.0,0.0,0.0,0.8994646777813732,-0.035936172536122565,0.035936172536122565,109.32093693754804,38539.33106617934,48174.163832724174,1.0,0.9405296384890482,0.0,0.0,109.32093693754804,0.0,0.0,0.035936172536122565,109.32093693754804,29.832909216298123,139.1538461538462,0.035936172536122565,0.0,0.27945187048193765,-58957.19070380451,10783.026871080334,10783.026871080334,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005193655942222221,15774.929978671118,-15774.929978671118,0.0,0.0,0.0,0.0,-0.035936172536122565,0.035936172536122565,48174.163832724174,0.0,0.0,0.0,0.035936172536122565,-0.06561084117777777,10783.026871080334,-58957.19070380451,0.0
8,8,0.0,200000.0,29.833333333333332,-0.002183373211444444,9827.526939298798,139.5357816642918,-0.002183373211444444,0.002183373211444444,0.0,0.0,109.70244833095843,0.0,0.0,0.0,0.9026036558413563,0.0,0.0,109.70244833095843,0.0,0.0,0.0,0.9026036558413563,0.0,0.0,109.70244833095843,0.0,0.0,0.0,109.70244833095843,29.833333333333336,139.5357816642918,0.0,0.0,0.2358591708815945,-49760.24706124187,49760.24706124187,49760.24706124187,0.0,0,0.0,0.0,0.0,0.0,-0.04992121846978268,199565.81339237877,29.8326096889873,0.0007347737420052192,9002.645185471258,139.15506700867908,-0.04918644472777778,0.04918644472777778,0.0,0.0,109.32245731969175,0.0,0.0,0.0,0.8994771870963615,-0.04992121846978268,0.04992121846978269,109.32245731969175,53538.125856088845,66922.65732011106,1.0,0.9787231828874543,0.0,0.0,109.32245731969175,0.0,0.0,0.04992121846978299,109.32245731969175,29.832609688987304,139.15506700867908,0.049921218469782994,0.0,0.4971078908988494,-104877.03901765021,37954.38169753916,37954.38169753915,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002183373211444444,49760.24706124187,-49760.24706124187,0.0,0.0,0.0,0.0,-0.04992121846978268,0.04992121846978269,66922.65732011106,0.0,0.0,0.0,0.04992121846978299,-0.04918644472777778,37954.38169753916,-104877.03901765021,0.0
9,9,0.0,200000.0,29.833333333333332,-0.018940665461666666,9759.3405436368,139.50431102014005,-0.018940665461666666,0.018940665461666666,0.0,0.0,109.67097768680672,0.0,0.0,0.0,0.9023447234392523,0.0,0.0,109.67097768680672,0.0,0.0,0.0,0.9023447234392523,0.0,0.0,109.67097768680672,0.0,0.0,0.0,109.67097768680672,29.833333333333336,139.50431102014005,0.0,0.0,0.3846877203897489,-81159.26099659504,81159.26099659504,81159.26099659503,0.0,0,0.0,0.0,0.0,0.0,-0.05617941689023233,199363.5674915739,29.83227261248596,0.011689353401343437,9044.726857716094,139.17448931894592,-0.044490063488888884,0.044490063488888884,0.0,0.0,109.34221670645994,0.0,0.0,0.0,0.8996397622713506,-0.05617941689023232,0.05617941689023232,109.34221670645994,60260.687622080935,75325.85952760118,1.0,1.0,0.0,0.0,109.34221670645994,0.0,0.0,0.056179416890232314,109.34221670645994,29.83227261248596,139.17448931894592,0.05617941689023232,0.0,0.6902159686444646,-145617.89985518472,70292.04032758353,70292.04032758354,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018940665461666666,81159.26099659504,-81159.26099659504,0.0,0.0,0.0,0.0,-0.05617941689023232,0.05617941689023232,75325.85952760118,0.0,0.0,0.0,0.056179416890232314,-0.044490063488888884,70292.04032758353,-145617.89985518472,0.0
10,10,0.0,200000.0,29.833333333333332,-0.01654799571833333,9699.7677590508,139.4768158887927,-0.01654799571833333,0.01654799571833333,0.0,0.0,109.64348255545936,0.0,0.0,0.0,0.902118500538583,0.0,0.0,109.64348255545936,0.0,0.0,0.0,0.902118500538583,0.0,0.0,109.64348255545936,0.0,0.0,0.0,109.64348255545936,29.833333333333336,139.4768158887927,0.0,0.0,0.5137134929205837,-108380.39594082438,108380.39594082438,108380.39594082438,0.0,0,0.0,0.0,0.0,0.0,-0.11185251429121718,198960.89844012551,29.83160149740021,0.06560125336900528,9280.891369844514,139.2834883245436,-0.04625126092222222,0.04625126092222222,-0.055926257145608574,0.05592625714560858,109.45188682714343,60049.30441140054,75061.63051425068,1.0,1.0,-0.0559262571456086,0.05592625714560861,109.45188682714343,60049.30441140057,75061.63051425072,1.0,1.0,0.0,0.0,109.45188682714343,0.0,0.0,0.11185251429122751,109.45188682714343,29.831601497400214,139.2834883245436,0.11185251429122751,0.0,0.8271725442451721,-174512.2312185986,24388.970190097214,24388.970190097214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01654799571833333,108380.39594082438,-108380.39594082438,0.0,-0.055926257145608574,0.05592625714560858,75061.63051425068,-0.0559262571456086,0.05592625714560861,75061.63051425072,0.0,0.0,0.0,0.11185251429122751,-0.04625126092222222,24388.970190097214,-174512.2312185986,0.0
