,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,EBpv.P_bal,Bat.E,Bat.P,Bat.Pch,Bat.Pdc,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,baten_expanded.P
0,0,0.0,200000.0,29.833333333333332,-0.011666666666666665,9958.0,140.39159999999998,0.011666666666666665,-0.011666666666666665,0.011666666666666665,0.0,0.0,110.55826666666665,2765.8841940527564,0.0,0.0,0.0,0.0,0.0,110.55826666666665,2765.8841940527564,0.0,0.0,0.0,0.0,110.55826666666665,29.833333333333332,140.39159999999998,110.55826666666665,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011666666666666665,0.0,0.0,0.0
1,1,0.0,200000.0,29.833333333333332,-0.015191054530555555,9903.31220369,140.38066244073798,0.015191054530555555,-0.015191054530555555,0.015191054530555555,0.0,0.0,110.54732910740465,2765.7473758326287,0.0,0.0,0.0,0.0,0.0,110.54732910740465,2765.7473758326287,0.0,0.0,0.0,0.0,110.54732910740465,29.833333333333332,140.38066244073798,110.54732910740465,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015191054530555555,0.0,0.0,0.0
2,2,-0.08111332305093243,199707.99203701664,29.832846653395027,0.060391507367599094,10120.721630213357,140.42414432604266,0.020721815683333332,-0.020721815683333332,0.020721815683333332,-0.08111332305093243,0.08111332305093243,110.59142926007117,2766.299009140604,88000.0,110000.0,1.0,0.0,0.0,110.59142926007117,2766.298984454458,0.0,0.0,0.0,0.08111332305093243,110.59142926007117,29.832846653395027,140.42414432604266,110.59129767264764,1.0,0.0,0.0,-110000.0,0.0,110000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08111332305093243,0.08111332305093243,110000.0,0.0,0.0,0.0,0.08111332305093243,-0.020721815683333332,-110000.0,0.0,0.0
3,3,0.0,199707.99203701664,29.832846653395027,-0.03618098538444444,9990.470082829357,140.39809401656586,0.03618098538444444,-0.03618098538444444,0.03618098538444444,0.0,0.0,110.56524736317084,2765.9715122332077,0.0,0.0,0.0,0.0,0.0,110.56524736317084,2765.9715122332077,0.0,0.0,0.0,0.0,110.56524736317084,29.832846653395027,140.39809401656586,110.56524736317084,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03618098538444444,0.0,0.0,0.0
4,4,0.0,199707.99203701664,29.832846653395027,-0.03261269932666667,9873.064365253356,140.37461287305067,0.03261269932666667,-0.03261269932666667,0.03261269932666667,0.0,0.0,110.54176621965564,2765.6777869249718,0.0,0.0,0.0,0.0,0.0,110.54176621965564,2765.6777869249718,0.0,0.0,0.0,0.0,110.54176621965564,29.832846653395027,140.37461287305067,110.54176621965564,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03261269932666667,0.0,0.0,0.0
5,5,0.0,199707.99203701664,29.832846653395027,-0.07031697765555554,9619.923245693357,140.32398464913865,0.07031697765555554,-0.07031697765555554,0.07031697765555554,0.0,0.0,110.49113799574363,2765.0443729892186,0.0,0.0,0.0,0.0,0.0,110.49113799574363,2765.0443729892186,0.0,0.0,0.0,0.0,110.49113799574363,29.832846653395027,140.32398464913865,110.49113799574363,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07031697765555554,0.0,0.0,0.0
6,6,0.0,199707.99203701664,29.832846653395027,-0.09616290988888887,9273.736770093357,140.25474735401866,0.09616290988888887,-0.09616290988888887,0.09616290988888887,0.0,0.0,110.42190070062364,2764.177904431577,0.0,0.0,0.0,0.0,0.0,110.42190070062364,2764.177904431577,0.0,0.0,0.0,0.0,110.42190070062364,29.832846653395027,140.25474735401866,110.42190070062364,1.0,0.07357298277434086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09616290988888887,0.0,0.0,0.0
7,7,0.0,199707.99203701664,29.832846653395027,-0.06561084117777777,9037.537741853357,140.20750754837067,0.06561084117777777,-0.06561084117777777,0.06561084117777777,0.0,0.0,110.37466089497565,2763.5865670475123,0.0,0.0,0.0,0.0,0.0,110.37466089497565,2763.5865670475123,0.0,0.0,0.0,0.0,110.37466089497565,29.832846653395027,140.20750754837067,110.37466089497565,1.0,0.27945187048193765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06561084117777777,0.0,0.0,0.0
8,8,-0.04437449111641989,199548.24386899752,29.83258040644833,-0.004811953611357887,9020.214708852469,140.2040429417705,0.04918644472777778,-0.04918644472777778,0.04918644472777778,0.0,0.0,110.3715019172314,2763.5470191528475,0.0,0.0,0.0,-0.04437449111641989,0.04437449111641989,110.3715019172314,2763.547026548354,48046.23325936796,60057.79157420995,1.0,0.04437449111641989,110.3715019172314,29.83258040644833,140.2040429417705,110.37146253532217,1.0,0.4971078908988494,-60057.79157420995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04437449111641989,0.04437449111641989,60057.79157420995,0.04437449111641989,-0.04918644472777778,0.0,-60057.79157420995,0.0
9,9,-0.061605239083781224,199326.46500829593,29.832210775013827,0.017115175594892337,9081.829340994082,140.2163658681988,0.044490063488888884,-0.044490063488888884,0.044490063488888884,0.0,0.0,110.38423099729462,2763.7063736803534,0.0,0.0,0.0,-0.061605239083781224,0.061605239083781224,110.38423099729462,2763.7063879335215,66710.42249775984,83388.0281221998,1.0,0.061605239083781224,110.38423099729462,29.832210775013827,140.2163658681988,110.38415509318497,1.0,0.6902159686444646,-83388.0281221998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.061605239083781224,0.061605239083781224,83388.0281221998,0.061605239083781224,-0.044490063488888884,0.0,-83388.0281221998,0.0
10,10,-0.0738157108840914,199060.7284491132,29.831767880748522,0.02756444996186918,9181.06136085681,140.23621227217134,0.04625126092222222,-0.04625126092222222,0.04625126092222222,0.0,0.0,110.4045533666063,2763.960769060237,0.0,0.0,0.0,-0.0738157108840914,0.0738157108840914,110.4045533666063,2763.9607895215618,79947.48370356314,99934.35462945391,1.0,0.0738157108840914,110.4045533666063,29.831767880748522,140.23621227217134,110.40444439142283,1.0,0.8271725442451721,-99934.35462945391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0738157108840914,0.0738157108840914,99934.35462945391,0.0738157108840914,-0.04625126092222222,0.0,-99934.35462945391,0.0
11,11,-0.08095700668008604,198769.2832250649,29.831282138708442,0.02833212500786381,9283.057010885119,140.25661140217701,0.05262488167222223,-0.05262488167222223,0.05262488167222223,0.0,0.0,110.42546034420718,2764.2224581332516,0.0,0.0,0.0,-0.08095700668008604,0.08095700668008604,110.42546034420718,2764.222482742815,87698.60150853544,109623.2518856693,1.0,0.08095700668008604,110.42546034420718,29.831282138708442,140.25661140217701,110.42532926346857,1.0,0.9073690875066988,-109623.2518856693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08095700668008604,0.08095700668008604,109623.2518856693,0.08095700668008604,-0.05262488167222223,0.0,-109623.2518856693,0.0
12,12,-0.11141714890174836,198368.18148901858,29.83061363581503,0.05496234972397058,9480.921469891413,140.29618429397829,0.05645479917777778,-0.05645479917777778,0.05645479917777778,-0.030470121716461285,0.030470121716461285,110.46581893378465,2764.727553143294,33019.54716400993,41274.433955012406,1.0,-0.08094702718528707,0.08094702718528707,110.46581893378465,2764.727574256804,87719.8393496078,109649.79918700976,1.0,0.11141714890174836,110.46581893378465,29.83061363581503,140.29618429397829,110.46557065816326,1.0,0.9075888237412905,-109649.79918700976,-41274.433955012406,0.0,41274.433955012406,0.0,0.0,0.0,0.0,0.0,0.0,-0.030470121716461285,0.030470121716461285,41274.433955012406,-0.08094702718528707,0.08094702718528707,109649.79918700976,0.11141714890174836,-0.05645479917777778,-41274.433955012406,-109649.79918700976,0.0
13,13,-0.15576143196988296,197807.44033392702,29.82967906722321,0.1026226027921052,9850.362839942993,140.3700725679886,0.05313882917777778,-0.05313882917777778,0.05313882917777778,-0.08115041630783709,0.08115041630783709,110.54087873323917,2765.6667094719123,88000.0,110000.0,1.0,-0.07461101566204588,0.07461101566204588,110.54087873323917,2765.6667056492493,80908.63457007243,101135.79321259055,1.0,0.15576143196988296,110.54087873323917,29.82967906722321,140.3700725679886,110.54039350076538,1.0,0.8371170424435377,-101135.79321259055,-110000.0,0.0,110000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08115041630783709,0.08115041630783709,110000.0,-0.07461101566204588,0.07461101566204588,101135.79321259055,0.15576143196988296,-0.05313882917777778,-110000.0,-101135.79321259055,0.0
14,14,-0.1436848196273203,197290.17498326866,29.82881695830545,0.09217764471620919,10182.202360921345,140.43644047218427,0.051507174911111106,-0.051507174911111106,0.051507174911111106,-0.08110114435211029,0.08110114435211029,110.60803642042664,2766.5067044590123,88000.0,110000.0,1.0,-0.06258367527521003,0.06258367527521003,110.60803642042664,2766.5066944767536,67907.34542915458,84884.18178644322,1.0,0.1436848196273203,110.60803642042664,29.82881695830545,140.43644047218427,110.60762351387882,1.0,0.7025998704330214,-84884.18178644322,-110000.0,0.0,110000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08110114435211029,0.08110114435211029,110000.0,-0.06258367527521003,0.06258367527521003,84884.18178644322,0.1436848196273203,-0.051507174911111106,-110000.0,-84884.18178644322,0.0
15,15,-0.04619802411091467,197123.86209646935,29.82853977016078,-0.006057222133529775,10160.396361240639,140.43207927224813,0.05225524624444444,-0.05225524624444444,0.05225524624444444,0.0,0.0,110.60358218723597,2766.4509750144834,0.0,0.0,0.0,-0.04619802411091467,0.04619802411091467,110.60358218723597,2766.45098302189,50125.83284463311,62657.29105579138,1.0,0.04619802411091467,110.60358218723597,29.82853977016078,140.43207927224813,110.60353950208734,1.0,0.5186243614651183,-62657.29105579138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04619802411091467,0.04619802411091467,62657.29105579138,0.04619802411091467,-0.05225524624444444,0.0,-62657.29105579138,0.0
16,16,-0.02872642950011668,197020.44695026893,29.82836741158378,-0.026612652238772204,10064.59081318106,140.4129181626362,0.055339081738888886,-0.055339081738888886,0.055339081738888886,0.0,0.0,110.58456725520746,2766.2131611149944,0.0,0.0,0.0,-0.02872642950011668,0.02872642950011668,110.58456725520746,2766.213164211313,31163.42479331534,38954.28099164418,1.0,0.02872642950011668,110.58456725520746,29.82836741158378,140.4129181626362,110.58455075105242,1.0,0.32243077805000214,-38954.28099164418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02872642950011668,0.02872642950011668,38954.28099164418,0.02872642950011668,-0.055339081738888886,0.0,-38954.28099164418,0.0
17,17,0.0,197020.44695026893,29.82836741158378,-0.060539685772222226,9846.647944401058,140.3693295888802,0.060539685772222226,-0.060539685772222226,0.060539685772222226,0.0,0.0,110.54096217729641,2765.667728617545,0.0,0.0,0.0,0.0,0.0,110.54096217729641,2765.667728617545,0.0,0.0,0.0,0.0,110.54096217729641,29.82836741158378,140.3693295888802,110.54096217729641,1.0,0.11917990763987955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.060539685772222226,0.0,0.0,0.0
18,18,0.0,197020.44695026893,29.82836741158378,-0.006790106403888889,9822.203561347058,140.3644407122694,0.006790106403888889,-0.006790106403888889,0.006790106403888889,0.0,0.0,110.53607330068563,2765.6065695797256,0.0,0.0,0.0,0.0,0.0,110.53607330068563,2765.6065695797256,0.0,0.0,0.0,0.0,110.53607330068563,29.82836741158378,140.3644407122694,110.53607330068563,1.0,0.006622110122458065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006790106403888889,0.0,0.0,0.0
19,19,0.0,197020.44695026893,29.82836741158378,-0.022238088677777778,9742.146442107058,140.3484292884214,0.022238088677777778,-0.022238088677777778,0.022238088677777778,0.0,0.0,110.52006187683763,2765.4062598467117,0.0,0.0,0.0,0.0,0.0,110.52006187683763,2765.4062598467117,0.0,0.0,0.0,0.0,110.52006187683763,29.82836741158378,140.3484292884214,110.52006187683763,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022238088677777778,0.0,0.0,0.0
20,20,0.0,197020.44695026893,29.82836741158378,-0.024667756384444444,9653.342519123058,140.3306685038246,0.024667756384444444,-0.024667756384444444,0.024667756384444444,0.0,0.0,110.50230109224081,2765.1840478904464,0.0,0.0,0.0,0.0,0.0,110.50230109224081,2765.1840478904464,0.0,0.0,0.0,0.0,110.50230109224081,29.82836741158378,140.3306685038246,110.50230109224081,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024667756384444444,0.0,0.0,0.0
