,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Turb1.Qin,Turb1.Qout,Turb1.H,Turb1.Ph,Turb1.Pe,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,EBpv.P_bal,Bat.E,Bat.P,Bat.Pch,Bat.Pdc,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,t1r0_expanded.Q,t1c1_Q_expanded.Q,t1eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,baten_expanded.P
0,0,0.0,200000.00000000003,29.833333333333332,-0.011666666666668584,9957.999999999993,139.596,0.011666666666666665,-0.011666666666666665,0.011666666666666665,0.0,0.0,109.76266666666663,2755.9142895288933,1.7465503123870276e-09,2.1831878904837845e-09,0.0,0.0,0.0,109.76266666666663,2755.9142895288933,0.0,0.0,0.0,-4.044954759555725e-15,0.0,109.76266666666663,-4.36637578096757e-09,-2.183187890483785e-09,0.0,109.76266666666663,29.833333333333332,139.596,109.76266666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1831878904837845e-09,0.0,0.0,0.0,0.0,-4.044954759555725e-15,-2.183187890483785e-09,0.0,-0.011666666666666665,0.0,0.0,0.0
1,1,0.0,200000.0,29.833333333333336,-0.015191054530555555,9903.312203689991,139.57075947862617,0.015191054530555555,-0.015191054530555555,0.015191054530555555,0.0,0.0,109.73742614526047,2755.5974022526234,0.0,0.0,0.0,0.0,0.0,109.73742614526047,2755.5974022526234,0.0,0.0,0.0,-7.394597629530042e-19,0.0,109.73742614526047,0.0,0.0,0.0,109.73742614526047,29.833333333333332,139.57075947862617,109.73742614529284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.394597629530042e-19,0.0,0.0,-0.015191054530555555,0.0,0.0,0.0
2,2,-0.027799999999999995,199899.92,29.833166533333337,0.007078184316666665,9928.793667229993,139.58252015410616,0.020721815683333332,-0.020721815683333332,0.020721815683333332,-0.0278,0.0278,109.7493690775728,2755.747349530957,29930.628436097504,37413.285545121886,1.0,0.0,0.0,109.74936907757281,2755.747346620118,0.0,0.0,0.0,0.0,0.0,109.7493690775728,0.0,0.0,0.0278,109.7493690775728,29.833166533333337,139.58252015410616,109.74935362077281,1.0,0.0,0.0,-37413.285545121886,0.0,37413.285545121886,0.0,0.0,0.0,0.0,0.0,0.0,-0.0278,0.0278,37413.285545121886,0.0,0.0,0.0,0.0,0.0,0.0,0.0278,-0.020721815683333332,-37413.285545121886,0.0,0.0
3,3,0.0,199899.91999999998,29.833166533333333,-0.03618098538444444,9798.542119845992,139.52240405531353,0.03618098538444444,-0.03618098538444444,0.03618098538444444,0.0,0.0,109.68923752198025,2754.9923074229314,0.0,0.0,0.0,0.0,0.0,109.68923752198023,2754.992307422931,0.0,0.0,0.0,-3.314069345691654e-18,0.0,109.68923752198025,0.0,0.0,0.0,109.68923752198025,29.833166533333333,139.52240405531353,109.68923752198025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.314069345691654e-18,0.0,0.0,-0.03618098538444444,0.0,0.0,0.0
4,4,0.0,199899.91999999998,29.833166533333333,-0.03261269932666667,9681.13640226999,139.4682168010477,0.03261269932666667,-0.03261269932666667,0.03261269932666667,0.0,0.0,109.63505026771439,2754.31173057863,0.0,0.0,0.0,0.0,0.0,109.63505026771439,2754.311729849171,0.0,0.0,0.0,0.0,0.0,109.63505026771439,0.0,0.0,0.0,109.63505026771439,29.833166533333333,139.4682168010477,109.63505026771439,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03261269932666667,0.0,0.0,0.0
5,5,0.0,199899.91999999998,29.833166533333333,-0.07031697765555554,9427.995282709993,139.35138243817386,0.07031697765555554,-0.07031697765555554,0.07031697765555554,0.0,0.0,109.51821590484052,2752.8437502485926,0.0,0.0,0.0,0.0,0.0,109.51821590484052,2752.8437495150847,0.0,0.0,0.0,0.0,0.0,109.51821590484052,0.0,0.0,0.0,109.51821590484052,29.833166533333333,139.35138243817386,109.51821590484052,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07031697765555554,0.0,0.0,0.0
6,6,0.0,199899.91999999998,29.833166533333333,-0.09616290988888886,9081.808807109994,139.19160406481998,0.09616290988888887,-0.09616290988888887,0.09616290988888887,0.0,0.0,109.35843753148666,2750.834926446007,0.0,0.0,0.0,0.0,0.0,109.35843753148664,2750.834926433514,0.0,0.0,0.0,-6.2159843706501844e-18,0.0,109.35843753148666,0.0,0.0,0.0,109.35843753148666,29.833166533333326,139.19160406481998,109.35843753148666,0.0,0.07357298277434086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.2159843706501844e-18,0.0,0.0,-0.09616290988888887,0.0,0.0,0.0
7,7,-0.043979172272470314,199741.59497981914,29.8329026582997,-0.02163166890530745,9003.934799050889,139.15566221494657,0.06561084117777777,-0.06561084117777777,0.06561084117777777,0.0,0.0,109.32279823990972,2750.3866493661,0.0,0.0,0.0,-0.04397917227247032,0.043979172272470314,109.32279823990973,2750.3866566564016,47165.75256304361,58957.19070380451,1.0,0.0,0.0,109.32279823990972,0.0,0.0,0.043979172272470314,109.32279823990972,29.8329026582997,139.15566221494657,109.32275955664683,1.0,0.27945187048193765,-58957.19070380451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04397917227247032,0.043979172272470314,58957.19070380451,0.0,0.0,0.0,0.043979172272470314,-0.06561084117777777,0.0,-58957.19070380451,0.0
8,8,-0.07819824737451432,199460.08128927083,29.832433468815452,0.029011802646734666,9108.377288579131,139.20386644088268,0.04918644472777778,-0.04918644472777778,0.04918644472777778,0.0,0.0,109.37155527138466,2750.9999056533093,0.0,0.0,0.0,-0.07819824737451431,0.07819824737451303,109.37155527138468,2750.999928714181,83901.63121412016,104877.0390176502,1.0,0.0,0.0,109.37155527138466,0.0,0.0,0.07819824737451302,109.37155527138466,29.832433468815456,139.20386644088268,109.37143297206725,1.0,0.4971078908988494,-104877.03901765021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07819824737451431,0.07819824737451303,104877.0390176502,0.0,0.0,0.0,0.07819824737451302,-0.04918644472777778,0.0,-104877.03901765021,0.0
9,9,-0.08197096767607084,199164.98580563697,29.831941643009397,0.037480904187153156,9243.308543652882,139.2661424047629,0.044490063488888884,-0.044490063488888884,0.044490063488888884,0.0,0.0,109.43433514654029,2751.789336925452,0.0,0.0,0.0,-0.08197096767607083,0.08197096767607083,109.43433514654029,2751.7893622631996,88000.0,110000.00000000001,1.0,0.0,0.0,109.43433514654029,0.0,0.0,0.08197096767607082,109.43433514654029,29.831941643009397,139.2661424047629,109.43420076175344,1.0,0.6902159686444646,-110000.00000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08197096767607083,0.08197096767607083,110000.00000000001,0.0,0.0,0.0,0.08197096767607082,-0.044490063488888884,0.0,-110000.00000000001,0.0
10,10,-0.0819262242880989,198870.05139819984,29.831450085663665,0.03567496336587669,9371.73841177004,139.32541772850928,0.04625126092222222,-0.04625126092222222,0.04625126092222222,0.0,0.0,109.49410188096677,2752.54066882429,0.0,0.0,0.0,-0.08192622428809891,0.08192622428809891,109.49410188096677,2752.5406930363133,87999.99999999999,109999.99999999997,1.0,0.0,0.0,109.49410188096677,0.0,0.0,0.08192622428809891,109.49410188096677,29.831450085663665,139.32541772850928,109.49396764284562,1.0,0.8271725442451721,-109999.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08192622428809891,0.08192622428809891,109999.99999999997,0.0,0.0,0.0,0.08192622428809891,-0.04625126092222222,0.0,-109999.99999999999,0.0
11,11,-0.08188949132678512,198575.24922942338,29.830958748715705,0.029264609654562863,9477.091006526465,139.37404200301225,0.05262488167222223,-0.05262488167222223,0.05262488167222223,0.0,0.0,109.54321737206936,2753.157948602907,0.0,0.0,0.0,-0.08188949132678511,0.08188949132678511,109.54321737206938,2753.1579749760263,87999.99999999999,109999.99999999997,1.0,0.0,0.0,109.54321737206936,0.0,0.0,0.08188949132678511,109.54321737206936,29.8309587487157,139.37404200301225,109.54308325429652,1.0,0.9073690875066988,-109999.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08188949132678511,0.08188949132678511,109999.99999999997,0.0,0.0,0.0,0.08188949132678511,-0.05262488167222223,0.0,-109999.99999999999,0.0
12,12,-0.08185758413840413,198280.56192652517,29.830467603210874,0.025402784960626357,9568.541032384719,139.4162497072545,0.05645479917777778,-0.05645479917777778,0.05645479917777778,0.0,0.0,109.58591611732255,2753.69447280344,0.0,0.0,0.0,-0.08185758413840415,0.08185758413840415,109.58591611732251,2753.694498057578,87999.99999999999,109999.99999999997,1.0,0.0,0.0,109.58591611732255,0.0,0.0,0.08185758413840415,109.58591611732255,29.830467603210877,139.4162497072545,109.58578210404363,1.0,0.9075888237412905,-109999.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08185758413840415,0.08185758413840415,109999.99999999997,0.0,0.0,0.0,0.08185758413840415,-0.05645479917777778,0.0,-109999.99999999999,0.0
13,13,-0.12164384170603364,197842.64409638342,29.829737740160642,0.06850501252825586,9815.159077486442,139.5300734203784,0.05313882917777778,-0.05313882917777778,0.05313882917777778,-0.039871857296185684,0.03987185729618569,109.70063162450076,2755.1353992929235,42908.62513210266,53635.781415128324,1.0,-0.08177198440984793,0.08177198440984794,109.70063162450072,2755.135418492143,87999.99999999999,109999.99999999997,1.0,0.0,0.0,109.70063162450076,0.0,0.0,0.12164384170603364,109.70063162450076,29.829737740160645,139.5300734203784,109.70033568021772,1.0,0.8371170424435377,-109999.99999999999,-53635.781415128324,0.0,53635.781415128324,0.0,0.0,0.0,0.0,0.0,0.0,-0.039871857296185684,0.03987185729618569,53635.781415128324,-0.08177198440984793,0.08177198440984794,109999.99999999997,0.0,0.0,0.0,0.12164384170603364,-0.05313882917777778,-53635.781415128324,-109999.99999999999,0.0
14,14,-0.08173432050962601,197548.40054254883,29.82924733423758,0.030227145598514905,9923.976801641096,139.58029698537283,0.051507174911111106,-0.051507174911111106,0.051507174911111106,0.0,0.0,109.7511832611157,2755.7701232821605,0.0,0.0,0.0,-0.08173432050962601,0.08173432050962602,109.75118326111573,2755.7701473261454,87999.99999999999,109999.99999999997,1.0,0.0,0.0,109.7511832611157,0.0,0.0,0.08173432050962601,109.7511832611157,29.829247334237582,139.58029698537283,109.75104965113525,1.0,0.7025998704330214,-109999.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08173432050962601,0.08173432050962602,109999.99999999997,0.0,0.0,0.0,0.08173432050962601,-0.051507174911111106,0.0,-109999.99999999999,0.0
15,15,-0.0812646806176064,197255.8476923254,29.82875974615388,0.029009434373170433,10028.41076538451,139.62849727633133,0.05225524624444444,-0.05225524624444444,0.05225524624444444,0.0,0.0,109.79986960914216,2756.381294520197,0.0,0.0,0.0,-0.08126468061760639,0.08126468061761453,109.7998696091422,2756.381319385962,87533.17078838915,109416.46348548644,1.0,0.0,0.0,109.79986960914216,0.0,0.0,0.08126468061761455,109.79986960914216,29.82875974615388,139.62849727633133,109.79973753017744,1.0,0.5186243614651183,-109416.46348548643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08126468061760639,0.08126468061761453,109416.46348548644,0.0,0.0,0.0,0.08126468061761455,-0.05225524624444444,0.0,-109416.46348548643,0.0
16,16,-0.050526144503891056,197073.95357211138,29.828456589286848,-0.004812937235001073,10011.084191338503,139.62050039600237,0.055339081738888886,-0.055339081738888886,0.055339081738888886,0.0,0.0,109.79209486453803,2756.2837057698425,0.0,0.0,0.0,-0.05052614450388752,0.05052614450388752,109.792094864538,2756.2837153830583,54419.71195250588,68024.63994063236,1.0,0.0,0.0,109.79209486453803,0.0,0.0,0.050526144503887205,109.79209486453803,29.828456589286848,139.62050039600237,109.79204380671553,1.0,0.32243077805000214,-68024.63994063236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05052614450388752,0.05052614450388752,68024.63994063236,0.0,0.0,0.0,0.050526144503887205,-0.055339081738888886,0.0,-68024.63994063236,0.0
17,17,0.0,197073.95357211138,29.828456589286848,-0.06053968577222223,9793.141322558506,139.5199113796424,0.060539685772222226,-0.060539685772222226,0.060539685772222226,0.0,0.0,109.69145479035552,2755.02015310063,0.0,0.0,0.0,0.0,0.0,109.69145479035552,2755.02015310063,0.0,0.0,0.0,-7.494124000832422e-19,0.0,109.69145479035552,0.0,0.0,0.0,109.69145479035552,29.828456589286848,139.5199113796424,109.69145479035552,0.0,0.11917990763987955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.494124000832422e-19,0.0,0.0,-0.060539685772222226,0.0,0.0,0.0
18,18,0.0,197073.95357211147,29.828456589286855,-0.00679010640388889,9768.696939504505,139.50862935669437,0.006790106403888889,-0.006790106403888889,0.006790106403888889,0.0,0.0,109.68017276740756,2754.8784693208445,0.0,0.0,0.0,0.0,0.0,109.68017276740757,2754.8784693208445,0.0,0.0,0.0,-3.9302328752599536e-19,0.0,109.68017276740756,0.0,0.0,0.0,109.68017276740756,29.828456589286855,139.50862935669437,109.68017276740754,0.0,0.006622110122458065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9302328752599536e-19,0.0,0.0,-0.006790106403888889,0.0,0.0,0.0
19,19,0.0,197073.95357211152,29.828456589286855,-0.022238088677777778,9688.639820264505,139.47167991704515,0.022238088677777778,-0.022238088677777778,0.022238088677777778,0.0,0.0,109.64322332775832,2754.414393692752,0.0,0.0,0.0,0.0,0.0,109.64322332775832,2754.414393692752,0.0,0.0,0.0,-1.1153835728563034e-18,0.0,109.64322332775832,0.0,0.0,0.0,109.64322332775832,29.828456589286855,139.47167991704515,109.64322332775832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1153835728563034e-18,0.0,0.0,-0.022238088677777778,0.0,0.0,0.0
20,20,0.0,197073.9535721115,29.828456589286855,-0.024667756384444444,9599.835897280504,139.43069349105252,0.024667756384444444,-0.024667756384444444,0.024667756384444444,0.0,0.0,109.60223690176568,2753.899523048615,0.0,0.0,0.0,0.0,0.0,109.60223690176568,2753.899523048615,0.0,0.0,0.0,-1.389312704509364e-18,0.0,109.60223690176568,0.0,0.0,0.0,109.60223690176568,29.828456589286855,139.43069349105252,109.60223690176568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.389312704509364e-18,0.0,0.0,-0.024667756384444444,0.0,0.0,0.0
21,21,0.0,197073.9535721115,29.828456589286855,-0.01427362919111111,9548.450832192506,139.4069773071658,0.014273629191111109,-0.014273629191111109,0.014273629191111109,0.0,0.0,109.57852071787893,2753.6015568626963,0.0,0.0,0.0,0.0,0.0,109.57852071787892,2753.6015568626963,0.0,0.0,0.0,-7.965815473334661e-19,0.0,109.57852071787893,0.0,0.0,0.0,109.57852071787893,29.82845658928685,139.4069773071658,109.57852071787893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.965815473334661e-19,0.0,0.0,-0.014273629191111109,0.0,0.0,0.0
22,22,0.0,197073.95357211152,29.82845658928685,0.0,9548.450832192504,139.40697730716576,0.0,0.0,0.0,0.0,0.0,109.57852071787894,2753.601556862698,0.0,0.0,0.0,0.0,0.0,109.57852071787894,2753.601556862698,0.0,0.0,0.0,0.0,0.0,109.57852071787894,0.0,0.0,0.0,109.57852071787894,29.82845658928685,139.40697730716576,109.57852071787892,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
