,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Qin,Irrigation1.Qout,Pump1.K,Pump1.Qin,Pump1.Qout,Pump1.Qoutp,Pump1.Qoutt,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.ModePump,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Turb1.Qin,Turb1.Qout,Turb1.H,Turb1.Ph,Turb1.Pe,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EB.P_bal,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P
0,0,-1.8337929264326454e-09,199999.99999339835,29.833333333322333,-0.015415791174532347,12944.503151771683,140.97438607004847,-0.01541579300833461,0.015415793008333333,1e-06,-1.8337929264326454e-09,1.833800818704053e-09,1.8338008187040532e-09,0.00024817258443158555,111.14105273672617,2773.164518592284,0.0,0.0,1.0,0.0,0.0,111.14105273672618,2773.1643935786433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8338008187040532e-09,111.10990281042918,29.833333333322333,140.94341107731438,111.14105273672617,1.0,0.0,0.0,0.0,0.0,0.0,0.01864235490565507,-0.01864235490565507,-34338.877951664756,0.0,0.0,0.0,-0.018642354905654954,-0.015415793008333333,34338.877951664756,0.0
1,1,0.001465985964975283,200005.27754287227,29.833342129238122,-0.025062281101086395,12854.278939807775,140.93274412606513,-0.023596295136113218,0.023596295136111108,1e-06,0.001465985964975283,-0.001465985964975283,0.0,0.0014659859649752832,111.09940195384469,0.0,-1597.7566084558912,-798.878304227945,0.0,0.0,0.0,111.09940195384469,2772.6446286547816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001465985964975283,111.13890195970657,29.833342129238122,140.97241627055416,111.09940199682701,0.0,0.0,798.878304227945,798.878304227945,0.0,0.0,-0.035852150302979086,0.035852150302979086,-7064.199040678348,0.0,0.005200974094585426,7064.199040678348,0.04105312439756509,-0.023596295136111108,0.0,0.0
2,2,0.0,200005.27754287227,29.833342129238122,-0.025452059975000885,12762.65152389777,140.8904545494913,-0.025452059975002102,0.025452059975,1e-06,0.0,0.0,0.0,0.0,111.05711242025319,2772.1170335944416,0.0,0.0,1.0,0.0,0.0,111.0571124202532,2772.1170660556904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.16489250019131,29.833342129238126,140.99828217056333,111.05711242025319,1.0,0.0,0.0,0.0,0.0,0.0,-0.03584402947286124,0.03584402947286124,-7050.140948971789,0.0,0.005175470324752183,7050.140948971789,0.04101949979761532,-0.025452059975,0.0,0.0
3,3,-0.10591416644504688,199623.98654367012,29.832706644239455,0.06593013225060257,12999.99999999994,140.99999999999997,-0.0399840341944454,0.03998403419444444,1e-06,-0.039457944784041354,0.039457944784041354,0.039457944784041354,0.0,111.16751771197329,2773.4946784018557,43030.986671791514,53788.7333397394,1.0,-0.06645622166100554,0.06645622166100566,111.16751771197326,2773.4946010537265,72474.05259897595,90592.56574871994,1.0,0.0,0.0,0.0,0.0,0.0,0.105914166445047,111.1668547114929,29.832706644239458,141.00000000000426,111.1672933557605,1.0,0.0,-144381.29908845935,0.0,144381.29908845935,0.0,-0.0358436270448317,0.0358436270448317,-7049.444299730994,-0.06645622166100554,0.005174285979523147,7049.444299730994,0.04101791302435839,-0.03998403419444444,0.0,0.0
4,4,-0.06007530769445711,199407.71543597008,29.83234619239328,0.0,12999.99999999994,140.99999999999997,-0.06007530769444888,0.06007530769444444,1e-06,-0.032033635535190196,0.032033635535190196,0.0320336355351902,0.0,111.16772598845859,2773.4972706521785,34934.44138891823,43668.0517361478,1.0,-0.028041672159254242,0.028041672159254242,111.16772598845856,2773.497129094552,30580.93291674394,38226.166145929914,1.0,0.0,0.0,0.0,0.0,0.0,0.06007530769444444,111.13551328914905,29.83234619239329,140.96841425185207,111.1676538076067,1.0,0.0,-81894.21788207772,0.0,81894.21788207772,0.0,-0.035854071392489036,0.035854071392489036,-7067.524667753328,-0.028041672159266916,0.005211295285015482,7067.524667753328,0.04106536667749404,-0.06007530769444444,0.0,0.0
5,5,-0.062454662944433664,199182.8786493701,29.831971464415616,0.0,12999.99999999994,140.99999999999997,-0.062454662944448854,0.06245466294444445,1e-06,-0.062454662944433664,0.06245466294443367,0.062454662944433685,0.0,111.16810654728282,2773.5020269652923,68110.45102604943,85138.06378256177,1.0,0.0,0.0,111.16810654728283,2773.5018090451704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062454662944444454,111.10030746692978,29.83197146441562,140.93296384044848,111.16802853558438,1.0,0.0,-85138.06378256179,0.0,85138.06378256179,0.0,-0.03586583107172073,0.03586583107172073,-7087.882026135566,0.0,0.0052529361201474395,7087.882026135566,0.04111876719186898,-0.06245466294444445,0.0,0.0
6,6,-0.00018281857386051736,199182.2205025042,29.83197036750417,-0.0628754392594699,12773.648418665849,140.89553003938425,-0.06305825783333491,0.06305825783333334,1e-06,-0.00018281857386051733,0.00018281857386051733,0.00018281857386051733,0.0,111.0635596718801,2772.1972844175007,199.18672638480544,248.98340798101884,1.0,0.0,0.0,111.0635596718801,2772.1972843599574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018281857386338605,111.05537293750459,29.831970367504177,140.88780750872493,111.06355967188009,1.0,0.0,-248.98340798101884,0.0,248.9834079810189,0.0,-0.03588083596237015,0.03588083596235589,-7113.857219008104,0.0,0.0,0.0,0.03588083596235589,-0.06305825783333334,7113.857219008104,0.0
7,7,-0.002365715551685111,199173.70392651812,29.83195617321087,-0.052588193920536264,12584.33092055192,140.80815273256246,-0.054953909472228675,0.05495390947222222,1e-06,-0.002365715551685111,0.002365715551685111,0.0023657155516851104,0.06379055488932882,110.97619667128377,2771.1069711928053,2575.49877202795,3219.373465034922,1.0,0.0,0.0,110.97619667128377,2771.1069711656737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00236571555168511,110.90456148991953,29.831956173210877,140.73709488412874,110.97619655935158,1.0,-3219.373465034922,0.0,0.0,0.0,0.0,0.035752762742102935,-0.03575276274209792,-75607.85226750429,0.0,0.0,0.0,-0.03575276274209792,-0.05495390947222222,78827.22573253841,-3219.373465035235
8,8,-0.007467567690422609,199146.82068283256,29.83191136780472,-0.046391680392910715,12417.320871137443,140.73107117129422,-0.053859248083340125,0.05385924808333333,1e-06,-0.007467567690422609,0.007467567690422609,0.007467567690422611,0.032431267791545,110.89916091877214,2770.14501200739,8124.121969182344,10155.152461477932,1.0,0.0,0.0,110.89916091877215,2770.1450117618015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007467567690422611,110.87488491724174,29.83191136780472,140.70732286625312,110.89915980348952,1.0,-10155.152461477932,0.0,0.0,0.0,0.0,-0.035940903994406435,0.035940903994409516,-7217.841896798041,0.0,0.0,0.0,0.035940903994409516,-0.05385924808333333,17372.994358275675,-10155.15246147799
9,9,-0.012182531710926058,199102.96356867327,29.831838272614455,-0.015838285650185052,12360.303042796777,140.7047552505216,-0.02802081736111508,0.028020817361111113,1e-06,-0.012182531710926056,0.012182531710926058,0.01218253171092606,0.0,110.87291994541631,2769.817196473652,13250.491591280817,16563.11448910103,1.0,0.0,0.0,110.87291994541631,2769.817195888156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01218253171092606,110.88825197529378,29.83183827261446,140.7204760358,110.87291697790714,1.0,-16563.11448910103,0.0,0.0,0.0,0.0,-0.03593707681144075,0.03593707681143387,-7211.216602580435,0.0,0.0,0.0,0.03593707681143387,-0.028020817361111113,23774.331091682423,-16563.1144891015
10,10,-0.016268867497504058,199044.39564568223,29.831740659409466,-0.0011522473802737232,12356.154952227791,140.70284074718205,-0.01742111487777863,0.01742111487777778,1e-06,-0.016268867497504058,0.016268867497504055,0.016268867497504058,0.0,110.87110538058687,2769.7944919865627,17694.758520950916,22118.448151188655,1.0,0.0,0.0,110.87110538058687,2769.7944909949492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016268867497504055,110.93572013270096,29.831740659409473,140.7676965715299,110.87110008777262,1.0,-22118.44815118865,0.0,0.0,0.0,0.0,-0.03599098933075218,0.03599098933075218,-7304.545379223521,0.0,0.00984989242324718,12957.29080060692,0.045840881754001125,-0.01742111487777778,16465.702729806246,-22118.448151189325
11,11,-0.0193606836419639,198974.69718457118,29.83162449530762,-0.013965298330258327,12305.87987823886,140.6796368668795,-0.033325981972223175,0.033325981972222224,1e-06,-0.019360683641963895,0.019360683641963895,0.0193606836419639,0.0,110.84801986833283,2769.506264683987,21053.176695537513,26316.470869421868,1.0,0.0,0.0,110.84801986833283,2769.506263279713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019360683641963895,110.98194054577654,29.83162449530762,140.81357448914702,110.84801237157188,1.0,-26316.470869421864,0.0,0.0,0.0,0.0,-0.03597723356922072,0.03597723356922072,-7280.732572613883,0.0,0.02496045807616729,33597.203442035774,0.06093769164538773,-0.033325981972222224,0.0,-26316.470869425357
12,12,-0.020543375793298898,198900.7410317153,29.83150123505286,-0.011735525484473817,12263.631986494756,140.66013783992065,-0.032278901277778375,0.03227890127777778,1e-06,-0.020543375793298898,0.020543375793304633,0.020543375793304633,0.0,110.82864504410145,2769.2639456840297,22335.353008607966,27919.191260759962,1.0,0.0,0.0,110.82864504410145,2769.2639440534467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02054337579330463,111.03175119944311,29.831501235052865,140.86301265551597,110.82863660486784,1.0,-27919.191260759966,0.0,0.0,0.0,0.0,-0.0359602747037636,0.0359602747037636,-7251.37482440956,0.0,0.026073078558416327,35170.566085171005,0.06203335326217881,-0.03227890127777778,0.0,-27919.19126076464
13,13,-0.026335911326942275,198805.9317509383,29.831343219584898,-0.011697531978613281,12221.520871371746,140.64070194063314,-0.03803344330555758,0.03803344330555555,1e-06,0.0014640886730577251,-0.001464088673057725,0.0,0.0014640886730577242,110.80937259265045,0.0,-1591.522890371852,-795.7614451859286,0.0,-0.027800000000000002,0.0278,110.80937259265045,2769.0233221925478,30219.710474722444,37774.638093403046,1.0,0.0,0.0,0.0,0.0,0.0,0.026335911326942272,111.06961992408506,29.8313432195849,140.90051336839457,110.80935872104826,1.0,-26043.58016464252,-10935.296483574602,0.0,10935.296483574604,0.0,-0.03594736756425359,0.03594736756425359,-7229.0310802046715,-0.027800000000000005,0.024655949231640467,33272.611244846245,0.06060331679589391,-0.03803344330555555,0.0,-26043.58016464517
14,14,-0.10151147604303903,198440.49043718335,29.830734150728635,0.06510859865415015,12455.911826526688,140.74888238147386,-0.03640287738888904,0.03640287738888889,1e-06,-0.04059439454966763,0.04059439454966764,0.04059439454966763,0.0,110.91835432223965,2770.384740056381,44171.12401593059,55213.90501991325,1.0,-0.0609170814933714,0.060917081493371404,110.91835432223967,2770.3847476870037,66284.42803200707,82855.53504000882,1.0,0.0,0.0,0.0,0.0,0.0,0.10151147604303908,111.1044827280292,29.830734150728638,140.9350254320356,110.91814823074522,1.0,-21427.953434533298,-116641.48662538879,0.0,116641.4866253888,0.0,-0.035935510858606495,0.035935510858606495,-7208.505757929114,-0.060917081493371404,0.021238515945968702,28636.459192465227,0.057174026804582036,-0.03640287738888889,0.0,-21427.95343453385
15,15,-0.010324039609503984,198403.32389458912,29.830672206490984,-0.029711402057162682,12348.950779120902,140.69951574420966,-0.04003544166666942,0.040035441666666664,1e-06,-0.010324039609503984,0.010324039609503984,0.010324039609503986,0.0,110.86884566943449,2769.766288752584,11228.6644249121,14035.830531140124,1.0,0.0,0.0,110.8688456694345,2769.766288381415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010324039609503984,111.12424636451907,29.830672206490988,140.95446772477214,110.86884353771867,1.0,-14035.830531140124,0.0,0.0,0.0,0.0,-0.03592869733243377,0.03592869733243377,-7196.710759834952,0.0,0.015808124217698723,21232.541290974397,0.05173682155015232,-0.040035441666666664,0.0,-14035.830531141542
16,16,-0.003745895835738683,198389.8386695805,29.830649731115965,-0.036731202553158086,12216.718449929534,140.63848543842906,-0.040477098388890784,0.04047709838888889,1e-06,-0.003745895835738683,0.003745895835730803,0.003745895835730803,0.0,110.80783598791265,2769.0042204609254,4071.8818105188943,5089.852263148597,1.0,0.0,0.0,110.80783598791265,2769.0042204163087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037458958357308027,111.11693610793446,29.830649731115972,140.94691392131259,110.80783570731307,1.0,-5089.852263148598,0.0,0.0,0.0,0.0,-0.03593082778937229,0.03593082778937804,-7200.398826036114,0.0,0.0,0.0,0.03593082778937804,-0.04047709838888889,12290.251089184443,-5089.852263148967
17,17,0.0,198389.8386695805,29.830649731115965,-0.029031826999999472,12112.203872729535,140.5902479412598,-0.02903182700000373,0.029031827000000003,1e-06,0.0,0.0,0.0,0.00024817258443158565,110.75959821014384,2768.401283455408,0.0,0.0,1.0,0.0,0.0,110.75959821014385,2768.4012834551017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.00938199511533,29.830649731115972,140.83945393318865,110.75959821014384,1.0,0.0,0.0,0.0,0.0,0.0,0.03564316585262706,-0.035643165852615226,-75797.57709866794,0.0,0.0,0.0,-0.035643165852615226,-0.029031827000000003,75797.57709866794,0.0
18,18,0.0,198389.83866958044,29.830649731115965,-0.003837776319444445,12098.387877979534,140.58387132829827,-0.003837776319444756,0.003837776319444444,1e-06,0.0,0.0,0.0,0.00024817258443158555,110.75322159718228,2768.3215247864514,0.0,0.0,1.0,0.0,0.0,110.75322159718229,2768.321524785851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.94360610425535,29.830649731115972,140.7738898811739,110.75322159718228,1.0,0.0,0.0,0.0,0.0,0.0,0.0356220697981424,-0.03562206979815144,-75834.09679727482,0.0,0.0,0.0,-0.03562206979815144,-0.003837776319444444,75834.09679727482,0.0
19,19,0.0,198389.83866958044,29.830649731115965,-0.011050223911111112,12058.607071899536,140.56551095626133,-0.011050223911112248,0.01105022391111111,1e-06,0.0,0.0,0.0,0.0002481725844315856,110.7348612251454,2768.092140458067,0.0,0.0,1.0,0.0,0.0,110.73486122514538,2768.0921404580663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.866502177271,29.830649731115972,140.69636098277405,110.73486122514538,1.0,0.0,0.0,0.0,0.0,0.0,0.03561068716150825,-0.03561068716149484,-75853.80145155588,0.0,0.0,0.0,-0.03561068716149484,-0.01105022391111111,75853.80145155588,0.0
20,20,0.0,198389.83866958044,29.830649731115965,-0.01265580385,12013.046178039536,140.54448285140288,-0.012655803850001679,0.01265580385,1e-06,0.0,0.0,0.0,0.00024817258443158565,110.71383312028695,2767.8294181549513,0.0,0.0,1.0,0.0,0.0,110.71383312028695,2767.829418154352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.78594319358936,29.830649731115972,140.61601812937425,110.71383312028695,1.0,0.0,0.0,0.0,0.0,0.0,0.03569869125151316,-0.03569869125151861,-75701.45624175169,0.0,0.0,0.0,-0.03569869125151861,-0.01265580385,75701.45624175169,0.0
21,21,-2.323383379935245e-10,198389.83866874402,29.830649731114576,-0.01862966678710611,11945.979377605956,140.51352894351047,-0.018629667019445496,0.018629667019444445,1e-06,-2.3233833799352453e-10,2.3233833799352447e-10,2.3233833799352447e-10,0.0,110.68287921239589,2767.4423810061203,0.0,0.0,1.0,0.0,0.0,110.6828792123959,2767.442381005622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3233833799352453e-10,110.81431859053819,29.83064973111458,140.64492539355376,110.68287921239587,1.0,0.0,0.0,0.0,0.0,0.0,-0.03602755749612964,0.03602755749612344,-7367.849082767719,0.0,0.0,0.0,0.03602755749612344,-0.018629667019444445,7367.849082767719,0.0
22,22,0.0,198389.83866874402,29.830649731114576,-0.030171971583333585,11837.360279905955,140.4633970522643,-0.03017197158333488,0.030171971583333332,1e-06,0.0,0.0,0.0,0.0,110.63274732114974,2766.815694507323,0.0,0.0,1.0,0.0,0.0,110.63274732114975,2766.8156945073233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.8333048324441,29.83064973111458,140.66366988514565,110.63274732114974,1.0,0.0,0.0,0.0,0.0,0.0,-0.03602088875540796,0.03602088875540796,-7356.304724963877,0.0,0.005432489804393896,7356.304724963877,0.041453378559802544,-0.030171971583333332,0.0,0.0
23,23,-0.16181780416223657,197807.29457375998,29.829678824289598,0.14239992224834738,12350.000000000004,140.70000000000002,-0.019417881913889747,0.01941788191388889,1e-06,-0.08090890208111826,0.08090890208111827,0.08090890208111828,0.0,110.8708448757453,2769.7913559135386,87999.99999999999,109999.99999999999,1.0,-0.0809089020811183,0.0809089020811183,110.8708448757453,2769.791344644176,88000.0,110000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1618178041622366,110.87075745131979,29.82967882428961,140.7000000000022,110.87032117571044,1.0,0.0,-219999.99999999997,0.0,219999.99999999997,0.0,-0.035951944758887744,0.035951944758887744,-7236.954730985236,-0.0809089020811183,0.005331284060328179,7236.954730985236,0.04128322881921455,-0.01941788191388889,0.0,0.0
