,t,B0w.Q,B0w.W,B0w.z,B1w.Q,B1w.W,B1w.z,B4w.Q,B4w.W,B4w.z,Irrigation1w.Qin,Irrigation1w.Qout,Irrigation4w.Qin,Irrigation4w.Qout,Pump4w.Qin,Pump4w.Qout,Pump4w.H,Pump4w.Hfix,Pump4w.Ph,Pump4w.Pe,Pump4w.PumpOn,Pump5w.Qin,Pump5w.Qout,Pump5w.H,Pump5w.Hfix,Pump5w.Ph,Pump5w.Pe,Pump5w.PumpOn,Pump7w.Qin,Pump7w.Qout,Pump7w.H,Pump7w.Hfix,Pump7w.Ph,Pump7w.Pe,Pump7w.PumpOn,Pump8w.Qin,Pump8w.Qout,Pump8w.H,Pump8w.Hfix,Pump8w.Ph,Pump8w.Pe,Pump8w.PumpOn,Turb2w.Qin,Turb2w.Qout,Turb2w.H,Turb2w.Ph,Turb2w.Pe,Pipe0w.Q,Pipe0w.H,Pipe0w.zlow,Pipe0w.zhigh,Pipe2w.Q,Pipe2w.H,Pipe2w.zlow,Pipe2w.zhigh,PVw.forecast,PVw.P,Gridw.P,Gridw.Psell,Gridw.Pbuy,EBgw.P_bal,B0s.Q,B0s.W,B0s.z,B1s.Q,B1s.W,B1s.z,B4s.Q,B4s.W,B4s.z,Irrigation1s.Qin,Irrigation1s.Qout,Irrigation4s.Qin,Irrigation4s.Qout,Pump4s.Qin,Pump4s.Qout,Pump4s.H,Pump4s.Hfix,Pump4s.Ph,Pump4s.Pe,Pump4s.PumpOn,Pump5s.Qin,Pump5s.Qout,Pump5s.H,Pump5s.Hfix,Pump5s.Ph,Pump5s.Pe,Pump5s.PumpOn,Pump7s.Qin,Pump7s.Qout,Pump7s.H,Pump7s.Hfix,Pump7s.Ph,Pump7s.Pe,Pump7s.PumpOn,Pump8s.Qin,Pump8s.Qout,Pump8s.H,Pump8s.Hfix,Pump8s.Ph,Pump8s.Pe,Pump8s.PumpOn,Turb2s.Qin,Turb2s.Qout,Turb2s.H,Turb2s.Ph,Turb2s.Pe,Pipe0s.Q,Pipe0s.H,Pipe0s.zlow,Pipe0s.zhigh,Pipe2s.Q,Pipe2s.H,Pipe2s.zlow,Pipe2s.zhigh,PVs.forecast,PVs.P,Grids.P,Grids.Psell,Grids.Pbuy,EBgs.P_bal,p4r1w_expanded.Q,p4c2_Qw_expanded.Q,p4ebw_expanded.P,p5r1w_expanded.Q,p5c0_Qw_expanded.Q,p5ebw_expanded.P,p7r0w_expanded.Q,p7c0_Qw_expanded.Q,p7ebw_expanded.P,p8r0w_expanded.Q,p8c2_Qw_expanded.Q,p8ebw_expanded.P,t2r1w_expanded.Q,t2c2_Qw_expanded.Q,t2ebw_expanded.P,c0r1_Qw_expanded.Q,c2r4_Qw_expanded.Q,r4i4w_expanded.Q,r1i1w_expanded.Q,gridebw_expanded.P,pvebw_expanded.P,p4r1s_expanded.Q,p4c2_Qs_expanded.Q,p4ebs_expanded.P,p5r1s_expanded.Q,p5c2_Qs_expanded.Q,p5ebs_expanded.P,p7r0s_expanded.Q,p7c0_Qs_expanded.Q,p7ebs_expanded.P,p8r0s_expanded.Q,p8c0_Qs_expanded.Q,p8ebs_expanded.P,t2r1s_expanded.Q,t2c2_Qs_expanded.Q,t2ebs_expanded.P,c0r1_Qs_expanded.Q,c2r4_Qs_expanded.Q,r4i4s_expanded.Q,r1i1s_expanded.Q,gridebs_expanded.P,pvebs_expanded.P
0,0,1.999999982687329e-08,120000000.000072,130.0000000000006,-0.04283394666920125,119845.79779199087,337.7269225833227,-0.03306574547545132,229880.96331628837,429.45144131940896,-0.04283394667047635,0.04283394667047635,-0.03306572547292994,0.03306572547292994,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-1.6783953906922721e-12,1.5589430122183805e-12,89,-1.46539144796757e-06,-1.0257740135774478e-06,-2.00000496473656e-08,220.3,130,337,-2.0001994514219826e-08,89.0,339,427,0.0,0.0,1.0554229039375988e-06,1.8799097358594283e-06,8.244868319209458e-07,0,-1.0600000105426222,119996183.99996205,129.99996819999967,0.959754544904539,123455.11636165634,337.92650133518885,-0.13486692415992013,229514.4790730243,429.43674726243415,-0.10024548564043212,0.10024548564043212,-0.1348669041553222,0.1348669041553222,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,-1.060000020542622,1.060000020542622,220.3,207,2290811.6243955437,2484611.306285839,1.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-1.7826748382209098e-12,1.3527787947979463e-12,89,-1.5564294647442262e-06,-1.0895006253208063e-06,1.06,220.3,130,337,-2.0002887677311434e-08,89.0,339,427,0.0,0.0,-2484611.3062847294,6.773460990535131e-07,2484611.306285407,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4743698589816022e-12,-1.819022428727357e-12,-1.0257740135779647e-06,-2.000009945557897e-08,-2.0002170135795747e-08,-0.033065725473105566,-0.04283394667052616,1.0554229039367143e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.060000020542622,1.0600000205435427,2484611.306285839,0.0,0.0,0.0,9.578205355719159e-13,-2.31770719296357e-12,-1.0895006253208308e-06,1.06,-2.000345776029951e-08,-0.13486690415589228,-0.10024548564079225,-2484611.3062847294,0.0
1,1,-0.7330073840469563,119997361.17348944,129.99997800977908,0.6910959185942661,122333.74309893024,337.8644945403241,-0.03338017847950211,229760.79467376217,429.44662319990636,-0.04191148545488257,0.04191148545488257,-0.033380158476012556,0.033380158476012556,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,-0.7330073940469563,0.7330073940469563,220.3,207,1584133.798592821,1718149.4561744265,1.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-2.647048161610604e-12,2.5266140369148155e-12,89,-2.311112664384853e-06,-1.6177788650694367e-06,0.7330073840468566,220.3,130,337,-2.000296268867181e-08,89.0,339,427,0.0,0.0,-1718149.456172789,5.544442532712827e-07,1718149.4561733434,0,-1.0600000105891767,119992367.99992393,129.99993639999937,0.9643583809924131,126926.80653322903,338.1184698682885,-0.1313985726423609,229041.44421151179,429.41778109585584,-0.09564164959747024,0.09564164959747024,-0.13139855263780612,0.13139855263780612,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,-1.0600000205891766,1.0600000205891766,220.3,207,2290811.6244961545,2484611.306394962,1.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-1.7395377939911108e-12,1.3096821101646197e-12,89,-1.5187669357562367e-06,-1.0631368550291587e-06,1.06,220.3,130,337,-2.0002844560363e-08,89.0,339,427,0.0,0.0,-2484611.306393879,6.715084006829165e-07,2484611.30639455,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7330073940469563,0.7330073940469064,1718149.4561744265,0.0,0.0,0.0,2.441546018910696e-12,-2.7871968618167855e-12,-1.6177788650694507e-06,0.7330073840468069,-2.0003138310244447e-08,-0.03338015847618818,-0.041911485454932375,-1718149.456172789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0600000205891766,1.060000020589439,2484611.306394962,0.0,0.0,0.0,9.147441838128743e-13,-2.2745902214072057e-12,-1.063136855029084e-06,1.06,-2.0003414643362482e-08,-0.1313985526383762,-0.09564164959783036,-2484611.306393879,0.0
2,2,-0.6359999802613271,119995071.57356049,129.99995892977967,0.5959157304686502,124479.03972861737,337.9831195980659,-0.03346487162811056,229640.32113590097,429.44179285573244,-0.040084269794871466,0.040084269794871466,-0.03346485162461878,0.03346485162461878,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,-0.635999990261327,0.635999990261327,220.3,207,1374486.9269533353,1490766.732053509,1.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-2.6492769445321387e-12,2.5288381819230515e-12,89,-2.3130585932749676e-06,-1.6191410152924586e-06,0.6359999802612274,220.3,130,337,-2.0002964915154224e-08,89.0,339,427,0.0,0.0,-1490766.73205187,5.310242642846453e-07,1490766.7320524012,0,-1.0600000105956233,119988551.99988578,129.99990459999904,-0.48002134050957074,125198.72970739457,338.0229151508615,1.2925900710637996,233694.76846734146,429.6043544970152,-0.09473141010940546,0.09473141010940546,-0.15269986992584333,0.15269986992584333,-0.7226449633792916,0.7226449633789315,89.0,89,630934.0910765113,684310.2940092314,1.0,-0.7226449676144922,0.722644967614132,89.0,89,630934.0947742226,684310.2980197642,1.0,-1.0600000205956233,1.0600000205956233,220.3,207,2290811.624510087,2484611.306410073,1.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,89,0.0,0.0,1.06,220.3,130,337,1.445289940991353,89.0,339,427,0.0,0.0,-3853231.8984390753,6.730740021844822e-07,3853231.8984397487,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.635999990261327,0.6359999902612772,1490766.732053509,0.0,0.0,0.0,2.4437678327287093e-12,-2.7894233210425773e-12,-1.619141015292357e-06,0.6359999802611777,-2.0003140536709436e-08,-0.0334648516247944,-0.04008426979492127,-1490766.73205187,0.0,-0.7226449633796518,0.7226449633783615,684310.2940092314,-0.7226449676148523,0.7226449676135619,684310.2980197642,-1.060000020595623,1.0600000205953668,2484611.306410073,0.0,0.0,0.0,0.0,0.0,0.0,1.06,1.4452899409907831,-0.1526998699264134,-0.09473141010976559,-3853231.8984390753,0.0
3,3,-1.0600000105816845,119991255.5735224,129.99992712977937,1.0242487630943156,128166.33527575691,338.1870101189095,-0.030246060716050387,229531.4353173232,429.43742711709206,-0.035751267490701934,0.035751267490701934,-0.03024604071263128,0.03024604071263128,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,-1.0600000205816842,1.0600000205816842,220.3,207,2290811.6244799625,2484611.3063773997,1.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-2.576571873697142e-12,2.456207179018657e-12,89,-2.249580510060135e-06,-1.574706357042159e-06,1.06,220.3,130,337,-2.000289224688064e-08,89.0,339,427,0.0,0.0,-2484611.306375805,5.313659920142052e-07,2484611.306376336,0,-0.9260137354359003,119985218.3504382,129.99987681958697,0.8364038299514374,128209.78349521974,338.1894126060394,-0.14575617901767135,233170.04622287786,429.58331594297704,-0.08960992548363095,0.08960992548363095,-0.14575615901306224,0.14575615901306224,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,-0.9260137454359002,0.9260137454359002,220.3,207,2001248.1238525778,2170551.1104691736,1.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-1.793834046683712e-12,1.3639278882453588e-12,89,-1.5661724599566882e-06,-1.0963207219694382e-06,0.9260137354351801,220.3,130,337,-2.000289883214861e-08,89.0,339,427,0.0,0.0,-2170551.110468057,6.730930437828694e-07,2170551.11046873,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0600000205816842,1.0600000205821245,2484611.3063773997,0.0,0.0,0.0,2.371173740067502e-12,-2.71675523905876e-12,-1.5747063570422399e-06,1.06,-2.0003067868404226e-08,-0.0302460407128069,-0.03575126749075174,-2484611.306375805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9260137454359002,0.9260137454355402,2170551.1104691736,0.0,0.0,0.0,9.689656797671412e-13,-2.3288610714126963e-12,-1.096320721969277e-06,0.9260137354348199,-2.0003468916005984e-08,-0.1457561590136323,-0.08960992548399108,-2170551.110468057,0.0
4,4,1.9999999827414073e-08,119991255.57359439,129.99992712977996,-0.039658420374939815,128023.56496240712,338.17911557582835,-0.030637738841860385,229421.1394574925,429.433004843343,-0.03965842037616476,0.03965842037616476,-0.030637718839389223,0.030637718839389223,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-1.6281534992159597e-12,1.5087513127654938e-12,89,-1.4215257463061256e-06,-9.95068022414438e-07,-2.0000049648284825e-08,220.3,130,337,-2.0001944296794364e-08,89.0,339,427,0.0,0.0,1.0247168752578813e-06,1.7908120998422563e-06,7.660952245834587e-07,0,1.999999983908559e-08,119985218.35051021,129.9998768195876,-0.10419022037796312,127834.69870185907,338.1686721384254,-0.13938009980140406,232668.2778635928,429.5631977169005,-0.10419022037720459,0.10419022037720459,-0.13938007979708222,0.13938007979708222,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-1.5064296323124683e-12,1.0768369471105094e-12,89,-1.3152424871896623e-06,-9.206697410328123e-07,-2.000035998501228e-08,220.3,130,337,-2.0002611576488995e-08,89.0,339,427,0.0,0.0,9.503129704920669e-07,1.973756349367908e-06,1.0234433788748673e-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4242032130928542e-12,-1.7688050283761502e-12,-9.950680224149717e-07,-2.000009945708711e-08,-2.0002119918273035e-08,-0.030637718839564843,-0.039658420376214566,1.0247168752569642e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.820350535939494e-13,-2.0416043834552696e-12,-9.206697410333241e-07,-2.0000720113367785e-08,-2.000318166119227e-08,-0.1393800797976523,-0.10419022037756472,9.503129704910924e-07,0.0
5,5,1.999999982757532e-08,119991255.5736664,129.99992712978056,-0.045591223833652765,127859.43655660597,338.170040028258,-0.030164002977343545,229312.54904677405,429.4286509489769,-0.045591223835223134,0.045591223835223134,-0.03016398297452661,0.03016398297452661,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-1.9740923769942213e-12,1.854350289668314e-12,89,-1.7235615801048371e-06,-1.2064931060734255e-06,-2.000004964864753e-08,220.3,130,337,-2.0002290067515324e-08,89.0,339,427,0.0,0.0,1.236141945772924e-06,1.980916523140773e-06,7.44774577367429e-07,0,1.999999983866874e-08,119985218.35058221,129.9998768195882,-0.13150563851167998,127361.27840321703,338.14249416868194,-0.18071495649013905,232017.7040202283,429.53711318722054,-0.13150563851104796,0.13150563851104796,-0.18071493648569056,0.18071493648569056,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-1.6331297768217892e-12,1.203413328079042e-12,89,-1.4258631378322812e-06,-9.98104196482589e-07,-2.000035998399065e-08,220.3,130,337,-2.0002738216751158e-08,89.0,339,427,0.0,0.0,1.0277474052573045e-06,2.0238406050749648e-06,9.960931998169454e-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7696316524024356e-12,-2.114575768453121e-12,-1.2064931060736556e-06,-2.000009945763946e-08,-2.0002465688946353e-08,-0.03016398297470223,-0.04559122383527294,1.2361419457725029e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.085498869160268e-13,-2.1682437580942456e-12,-9.981041964829428e-07,-2.00007201112087e-08,-2.0003308302315005e-08,-0.18071493648626064,-0.1315056385114081,1.027747405256589e-06,0.0
6,6,1.9999999827730694e-08,119991255.5737384,129.99992712978116,-0.07059574443395103,127605.29187664375,338.15598699385794,-0.029168607737889693,229207.54205891766,429.42444073069146,-0.07059574443626089,0.07059574443626089,-0.029168587734332556,0.029168587734332556,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-2.714657578147531e-12,2.594195323120078e-12,89,-2.370141776975769e-06,-1.65909924388303e-06,-2.0000049649014527e-08,220.3,130,337,-2.000303027444848e-08,89.0,339,427,0.0,0.0,1.6887480712145632e-06,2.4327554090700943e-06,7.44007337855422e-07,0,1.9999999838161233e-08,119985218.35065421,129.9998768195888,-0.1743746021987667,126733.52983530147,338.10778255394024,-0.2854180211984236,230990.19914391398,429.49591574020366,-0.17437460219791667,0.17437460219791667,-0.2854180011941933,0.2854180011941933,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-1.4148468268631988e-12,9.853099180673776e-13,89,-1.2352824438350851e-06,-8.646977106842583e-07,-2.000035998298046e-08,220.3,130,337,-2.000252003276828e-08,89.0,339,427,0.07357298277434086,-38033.553825319046,38033.55382622339,38033.5538266229,3.9951605396912877e-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5091160070322685e-12,-2.8547827276881274e-12,-1.6590992438830812e-06,-2.0000099458193803e-08,-2.0003205895825195e-08,-0.029168587734508176,-0.0705957444363107,1.6887480712144527e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.905340952732639e-13,-1.9500588503145306e-12,-8.646977106841084e-07,-2.0000720109069844e-08,-2.0003090119205897e-08,-0.2854180011947634,-0.1743746021982768,38033.55382622339,-38033.553825319046
7,7,1.9999999827985363e-08,119991255.5738104,129.99992712978175,-0.08260265893342528,127307.92230448342,338.1395438213008,-0.028207076267335044,229105.99658435525,429.42036930056537,-0.08260265893665866,0.08260265893665866,-0.02820705626285339,0.02820705626285339,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-3.63963697729294e-12,3.5182130043118267e-12,89,-3.177732204244332e-06,-2.224412542971005e-06,-2.0000049649412034e-08,220.3,130,337,-2.0003954791392984e-08,89.0,339,427,0.07477177315670108,-38653.26851965903,38653.26852192309,38653.268522276005,3.529069718952104e-07,0,1.99999998318449e-08,119985218.35072622,129.9998768195894,-0.4672235975928475,125051.52488396721,338.0147753997253,-0.03695104530634754,230857.17538081112,429.490582199158,-0.19347358759004882,0.19347358759004882,-0.310701035304135,0.310701035304135,0.0,0.0,89.0,89,0.0,0.0,0.0,-0.27374999000099814,0.273749990000638,89.0,89,239008.37876965702,259228.1765397582,1.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,89,0.0,0.0,-2.000035998064316e-08,220.3,130,337,0.27374998999949773,89.0,339,427,0.27945187048193765,-144462.64589011064,-114765.53064962487,4.131636453747695e-07,114765.53065003804,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4326466138252314e-12,-3.7792996866186185e-12,-2.224412542970993e-06,-2.0000099458784615e-08,-2.00041304127005e-08,-0.02820705626302901,-0.08260265893670847,38653.26852192309,-38653.26851965903,0.0,0.0,0.0,-0.27374999000135825,0.2737499900000679,259228.1765397582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0000720105610667e-08,0.27374998999892763,-0.3107010353047051,-0.19347358759040895,-114765.53064962487,-144462.64589011064
8,8,1.9999999828163872e-08,119991255.5738824,129.99992712978235,-0.10918021420213442,126914.87353335574,338.1178100281623,-0.029600532757754414,228999.43466642735,429.4160967379051,-0.10918021420476628,0.10918021420476628,-0.02960051275387489,0.02960051275387489,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-3.0372142828611717e-12,2.916390481848324e-12,89,-2.651762870369197e-06,-1.8562340092584146e-06,-2.000004964981544e-08,220.3,130,337,-2.000335266348624e-08,89.0,339,427,0.2358591708815945,-121927.39960626901,121927.3996081649,121927.39960852648,3.615769479596958e-07,0,1.9999999836682688e-08,119985218.35079822,129.99987681958999,-0.5302704365561246,123142.55131236518,337.9092179224863,-0.0562437848358548,230654.69775540204,429.48246392990484,-0.2565204265537426,0.2565204265537426,-0.32999377483322556,0.32999377483322556,0.0,0.0,89.0,89,0.0,0.0,0.0,-0.2737499900005814,0.2737499900002213,89.0,89,239008.37876929322,259228.1765393636,1.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,89,0.0,0.0,-2.0000359980863897e-08,220.3,130,337,0.27374998999908107,89.0,339,427,0.4971078908988494,-256979.92676983005,-2248.249769510837,2.3364514471092417e-07,2248.249769744482,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8311258243277476e-12,-3.1771718449018142e-12,-1.8562340092584045e-06,-2.000009945939783e-08,-2.0003528284699923e-08,-0.02960051275405051,-0.10918021420481609,121927.3996081649,-121927.39960626901,0.0,0.0,0.0,-0.2737499900009416,0.2737499899996512,259228.1765393636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0000720104715267e-08,0.27374998999851097,-0.32999377483379566,-0.2565204265541027,-2248.249769510837,-256979.92676983005
9,9,1.9999999827583115e-08,119991255.5739544,129.99992712978295,-0.11784073596472172,126490.64688388274,338.0943522414427,-0.03417094548109145,228876.41926269542,429.41116447851215,-0.11784073596654658,0.11784073596654658,-0.034170925478019726,0.034170925478019726,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-2.229022772893695e-12,2.1089932152351487e-12,89,-1.946138807144136e-06,-1.3622971650008223e-06,-2.0000049650163835e-08,220.3,130,337,-2.00025448648804e-08,89.0,339,427,0.3846877203897489,-198864.319043838,198864.31904523994,198864.3190454621,2.221470621772292e-07,0,1.9999999836157524e-08,119985218.3508702,129.99987681959058,-0.6490173727874551,120806.08877033033,337.78002226715114,0.06270848574515718,230880.44830408462,429.4915153188401,-0.2722220828356481,0.2722220828356481,-0.31408678420027886,0.31408678420027886,-0.37679527995086565,0.37679527995050555,89.0,89,328976.1909719869,356807.1485596387,1.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-1.6839746646284957e-12,1.2541802838479568e-12,89,-1.4702553127252362e-06,-1.0291787189073558e-06,-2.0000359979762437e-08,220.3,130,337,0.37679526994714635,89.0,339,427,0.6902159686444646,-356807.1485586373,5.7503256897090686e-08,5.176769829288543e-07,4.601737260319835e-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0241268814013888e-12,-2.369373361879724e-12,-1.3622971650007867e-06,-2.0000099459965965e-08,-2.000272048598193e-08,-0.03417092547819535,-0.11784073596659639,198864.31904523994,-198864.319043838,-0.3767952799512258,0.37679527994993545,356807.1485596387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.592774044948583e-13,-2.2190592734208658e-12,-1.0291787189070905e-06,-2.0000720102508356e-08,0.37679526994657625,-0.31408678420084896,-0.2722220828360082,5.750325689731048e-08,-356807.1485586373
10,10,1.999999982758133e-08,119991255.5740264,129.99992712978354,-0.3849931435266299,125104.67156718687,338.0177141673896,0.21177940586101984,229638.82512379508,429.4417328736527,-0.10455218725669659,0.10455218725669659,-0.0686615304073911,0.0686615304073911,-0.2804409462718995,0.28044094627184973,89.0,89,244850.1857804893,265564.1928204873,1.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-2.420493060762708e-12,2.300240208111221e-12,89,-2.113309637196402e-06,-1.4793167460373846e-06,-2.0000049650567307e-08,220.3,130,337,0.2804409362689378,89.0,339,427,0.5137134929205837,-265564.1928206651,1.6868153165206552e-06,1.9453830469451547e-06,2.5856773042463693e-07,0,1.999999983570306e-08,119985218.35094221,129.99987681959118,-0.6861293856718436,118336.0229819117,337.64343896546563,0.18005861475863327,231528.6593172157,429.517505111672,-0.23456823461458334,0.23456823461458334,-0.2715025162922561,0.2715025162922561,-0.45156114105631884,0.45156114105595874,89.0,89,394253.51664454705,427606.8510244545,1.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-1.6839752218441488e-12,1.2541837510057227e-12,89,-1.4702557988537055e-06,-1.0291790591972841e-06,-2.0000359978640088e-08,220.3,130,337,0.4515611310525996,89.0,339,427,0.8271725442451721,-427606.85102342005,2.4473098384677897e-08,5.000907314905126e-07,4.756176331060544e-07,0,-0.2804409462719494,0.2804409462716741,265564.1928204873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2152584275577284e-12,-2.5607431402953257e-12,-1.4793167460372685e-06,-2.0000099460590248e-08,0.2804409362687622,-0.06866153040756673,-0.10455218725674639,1.6868153165207908e-06,-265564.1928206651,-0.45156114105667894,0.45156114105538864,427606.8510244545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.592830586101162e-13,-2.219061169655079e-12,-1.029179059197019e-06,-2.0000720100286638e-08,0.45156113105202955,-0.2715025162928262,-0.23456823461494347,2.4473098384897576e-08,-427606.85102342005
