,t,B0w.Q,B0w.W,B0w.z,B1w.Q,B1w.W,B1w.z,B4w.Q,B4w.W,B4w.z,Irrigation1w.Qin,Irrigation1w.Qout,Irrigation4w.Qin,Irrigation4w.Qout,Pump4w.Qin,Pump4w.Qout,Pump4w.H,Pump4w.Hfix,Pump4w.Ph,Pump4w.Pe,Pump4w.PumpOn,Pump5w.Qin,Pump5w.Qout,Pump5w.H,Pump5w.Hfix,Pump5w.Ph,Pump5w.Pe,Pump5w.PumpOn,Pump7w.Qin,Pump7w.Qout,Pump7w.H,Pump7w.Hfix,Pump7w.Ph,Pump7w.Pe,Pump7w.PumpOn,Pump8w.Qin,Pump8w.Qout,Pump8w.H,Pump8w.Hfix,Pump8w.Ph,Pump8w.Pe,Pump8w.PumpOn,Turb2w.Qin,Turb2w.Qout,Turb2w.H,Turb2w.Ph,Turb2w.Pe,Pipe0w.Q,Pipe0w.H,Pipe0w.zlow,Pipe0w.zhigh,Pipe2w.Q,Pipe2w.H,Pipe2w.zlow,Pipe2w.zhigh,PVw.forecast,PVw.P,Gridw.P,Gridw.Psell,Gridw.Pbuy,EBgw.P_bal,B0s.Q,B0s.W,B0s.z,B1s.Q,B1s.W,B1s.z,B4s.Q,B4s.W,B4s.z,Irrigation1s.Qin,Irrigation1s.Qout,Irrigation4s.Qin,Irrigation4s.Qout,Pump4s.Qin,Pump4s.Qout,Pump4s.H,Pump4s.Hfix,Pump4s.Ph,Pump4s.Pe,Pump4s.PumpOn,Pump5s.Qin,Pump5s.Qout,Pump5s.H,Pump5s.Hfix,Pump5s.Ph,Pump5s.Pe,Pump5s.PumpOn,Pump7s.Qin,Pump7s.Qout,Pump7s.H,Pump7s.Hfix,Pump7s.Ph,Pump7s.Pe,Pump7s.PumpOn,Pump8s.Qin,Pump8s.Qout,Pump8s.H,Pump8s.Hfix,Pump8s.Ph,Pump8s.Pe,Pump8s.PumpOn,Turb2s.Qin,Turb2s.Qout,Turb2s.H,Turb2s.Ph,Turb2s.Pe,Pipe0s.Q,Pipe0s.H,Pipe0s.zlow,Pipe0s.zhigh,Pipe2s.Q,Pipe2s.H,Pipe2s.zlow,Pipe2s.zhigh,PVs.forecast,PVs.P,Grids.P,Grids.Psell,Grids.Pbuy,EBgs.P_bal,p4r1w_expanded.Q,p4c2_Qw_expanded.Q,p4ebw_expanded.P,p5r1w_expanded.Q,p5c0_Qw_expanded.Q,p5ebw_expanded.P,p7r0w_expanded.Q,p7c0_Qw_expanded.Q,p7ebw_expanded.P,p8r0w_expanded.Q,p8c2_Qw_expanded.Q,p8ebw_expanded.P,t2r1w_expanded.Q,t2c2_Qw_expanded.Q,t2ebw_expanded.P,c0r1_Qw_expanded.Q,c2r4_Qw_expanded.Q,r4i4w_expanded.Q,r1i1w_expanded.Q,gridebw_expanded.P,pvebw_expanded.P,p4r1s_expanded.Q,p4c2_Qs_expanded.Q,p4ebs_expanded.P,p5r1s_expanded.Q,p5c2_Qs_expanded.Q,p5ebs_expanded.P,p7r0s_expanded.Q,p7c0_Qs_expanded.Q,p7ebs_expanded.P,p8r0s_expanded.Q,p8c0_Qs_expanded.Q,p8ebs_expanded.P,t2r1s_expanded.Q,t2c2_Qs_expanded.Q,t2ebs_expanded.P,c0r1_Qs_expanded.Q,c2r4_Qs_expanded.Q,r4i4s_expanded.Q,r1i1s_expanded.Q,gridebs_expanded.P,pvebs_expanded.P
11,11,1.9999999827662164e-08,119991255.5740984,129.99992712978414,-0.4201363010599189,123592.18088337117,337.93408037417936,0.25641337377056267,230561.9132693691,429.4787437685358,-0.08646839796549013,0.08646839796549013,-0.07725450932234389,0.07725450932234389,-0.3336678930963951,0.3336678930963453,89.0,89,291322.1007834882,315967.57134868565,1.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-2.4205077007394914e-12,2.300306926534767e-12,89,-2.1133224137718935e-06,-1.4793256896402678e-06,-2.0000049650916235e-08,220.3,130,337,0.3336678830934334,89.0,339,427,0.6112149495870927,-315967.5713484508,1.2741749811903001e-06,1.5448500302295595e-06,2.7067504903939473e-07,0,1.9999999835296717e-08,119985218.35101421,129.99987681959178,-0.707944637138319,115787.42228821374,337.5025130439557,0.2613033993839788,232469.35155499802,429.55522183644734,-0.21260345150928933,0.21260345150928933,-0.23403776623868,0.23403776623868,-0.4953411756280884,0.4953411756277283,89.0,89,432477.4270288133,469064.45447810553,1.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-1.6839757045313832e-12,1.2541863954809434e-12,89,-1.4702562199880854e-06,-1.02917935399135e-06,-2.000035997749504e-08,220.3,130,337,0.49534116562436903,89.0,339,427,0.9073690875066988,-469064.4544770423,-4.305398785414032e-09,4.874817476614435e-07,4.917871464470772e-07,0,-0.33366789309644496,0.3336678930961697,315967.57134868565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2153563323763365e-12,-2.5607680494024653e-12,-1.4793256896401721e-06,-2.0000099461171167e-08,0.3336678830932578,-0.07725450932251951,-0.08646839796553994,1.2741749811904346e-06,-315967.5713484508,-0.4953411756284485,0.4953411756271582,469064.45447810553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.592874385237506e-13,-2.219062869890247e-12,-1.029179353991085e-06,-2.000072009804786e-08,0.49534116562379893,-0.2340377662392501,-0.21260345150964946,-4.305398785194454e-09,-469064.4544770423
12,12,1.999999982780151e-08,119991255.5741704,129.99992712978477,-0.43844311992557994,122013.78565163907,337.84680236193964,0.2873039643223862,231596.2075409297,429.52021343396973,-0.08445424222702769,0.08445424222702769,-0.06668489337464388,0.06668489337464388,-0.3539888677005187,0.35398886770046883,89.0,89,309064.14050060237,335210.5645342759,1.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-2.4205162237736107e-12,2.3003146638482125e-12,89,-2.113329855240402e-06,-1.4793308986682247e-06,-2.0000049651233724e-08,220.3,130,337,0.3539888576975569,89.0,339,427,0.6484390389437005,-335210.5645337791,1.0122247385497735e-06,1.2951936308936391e-06,2.82968892344e-07,0,-1.0600000105863132,119981402.3509761,129.99984501959148,0.8774897716349306,118946.3854660995,337.67718920957094,-0.1975782073706091,231758.0700084638,429.5267032527375,-0.18251025895222833,0.18251025895222833,-0.19757818736604332,0.19757818736604332,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,-1.0600000205863132,1.0600000205863132,220.3,207,2290811.6244899663,2484611.30638825,1.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-1.7504688726682878e-12,1.3206144897360842e-12,89,-1.528310751230501e-06,-1.0698175258611497e-06,1.06,220.3,130,337,-2.0002855504875746e-08,89.0,339,427,0.9075888237412905,-469178.04712465435,-2015433.259262496,4.3755443197044536e-07,2015433.2592629336,0,-0.3539888677005685,0.3539888677002932,335210.5645342759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2153635049693412e-12,-2.5607763040177073e-12,-1.4793308986681295e-06,-2.000009946172581e-08,0.3539888576973813,-0.0666848933748195,-0.0844542422270775,1.0122247385499069e-06,-335210.5645337791,0.0,0.0,0.0,0.0,0.0,0.0,-1.0600000205863132,1.0600000205866342,2484611.30638825,0.0,0.0,0.0,9.256831160396156e-13,-2.285525309923539e-12,-1.0698175258610842e-06,1.06,-2.000342559710417e-08,-0.19757818736661342,-0.18251025895258846,-2015433.259262496,-469178.04712465435
13,13,1.9999999828033022e-08,119991255.5742424,129.99992712978536,-0.3911334549345452,120605.70521387471,337.7689419761433,0.27183726834953703,232574.82170698803,429.5594506251359,-0.06092554717676036,0.06092554717676036,-0.058370619406725555,0.058370619406725555,-0.33020789775975123,0.33020789775970144,89.0,89,288301.2134550177,312691.1208839672,1.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-2.4205362983379894e-12,2.3003328484739453e-12,89,-2.113347382355457e-06,-1.4793431676487696e-06,-2.000004965152143e-08,220.3,130,337,0.33020788775678944,89.0,339,427,0.6048769083203855,-312691.120882862,4.0385777516299973e-07,1.077808990429222e-06,6.739512152663539e-07,0,-1.060000010594016,119977586.35093796,129.99981321959115,-0.595608896762399,116802.19343775486,337.55862523121374,1.3462044658103305,236604.40608538102,429.7210153950515,-0.1491393164504477,0.1491393164504477,-0.16026512509152888,0.16026512509152888,-0.7532347904530001,0.7532347904526401,89.0,89,657641.7631962956,713277.4004298216,1.0,-0.7532347904530001,0.7532347904526401,89.0,89,657641.7631962956,713277.4004298216,1.0,-1.0600000205940159,1.0600000205940159,220.3,207,2290811.6245066132,2484611.306406305,1.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,89,0.0,0.0,1.06,220.3,130,337,1.5064695909035697,89.0,339,427,0.8371170424435377,-432747.6594184728,-3478418.4478474725,4.376820367725917e-07,3478418.44784791,0,-0.33020789775980103,0.3302078977595258,312691.1208839672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2153804666531216e-12,-2.560795834480962e-12,-1.4793431676486781e-06,-2.000009946225261e-08,0.33020788775661386,-0.05837061940690118,-0.06092554717681017,4.038577751631309e-07,-312691.120882862,-0.7532347904533603,0.75323479045207,713277.4004298216,-0.7532347904533603,0.75323479045207,713277.4004298216,-1.0600000205940159,1.0600000205947242,2484611.306406305,0.0,0.0,0.0,0.0,0.0,0.0,1.06,1.5064695909029997,-0.16026512509209898,-0.14913931645080783,-3478418.4478474725,-432747.6594184728
14,14,1.9999999828324365e-08,119991255.5743144,129.99992712978596,-0.3313387075672532,119412.8858666326,337.702984540708,0.22641110521576233,233389.90168576478,429.59213097051844,-0.057588707574316916,0.057588707574316916,-0.04733887477564717,0.04733887477564717,-0.2737499900006629,0.2737499900006131,89.0,89,239008.3787696353,259228.17653973462,1.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-8.188052733295713e-12,8.06298952613703e-12,89,-7.14890920565964e-06,-5.00423644396177e-06,-2.0000049651785033e-08,220.3,130,337,0.27374997999193634,89.0,339,427,0.49767636182026426,-257273.79781552698,-1954.378719173691,4.07358746322789e-07,1954.3787195810498,0,-1.0600000105919427,119973770.35089983,129.99978141959085,0.9225092909669272,120123.2268852358,337.7422631389131,-0.16218833487952886,236020.5280798147,429.69760501155537,-0.1374907396255787,0.1374907396255787,-0.16218831487499166,0.16218831487499166,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,-1.0600000205919426,1.0600000205919426,220.3,207,2290811.6245021326,2484611.3064014455,1.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-1.721861716376436e-12,1.2920358076926335e-12,89,-1.5033341241923427e-06,-1.052333886934425e-06,1.06,220.3,130,337,-2.000282691321959e-08,89.0,339,427,0.7025998704330214,-363209.00665225263,-2121402.2997481106,4.3390520468734407e-07,2121402.299748544,0,-0.2737499900007127,0.2737499900004375,259228.17653973462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.975680028133078e-12,-8.325665454897866e-12,-5.004236443961783e-06,-2.000009946274959e-08,0.2737499799917607,-0.04733887477582279,-0.05758870757436673,-1954.378719173691,-257273.79781552698,0.0,0.0,0.0,0.0,0.0,0.0,-1.0600000205919426,1.0600000205921445,2484611.3064014455,0.0,0.0,0.0,8.971192934644794e-13,-2.256932693609781e-12,-1.0523338869343398e-06,1.06,-2.0003397006374202e-08,-0.16218831487556176,-0.13749073962593883,-2121402.2997481106,-363209.00665225263
15,15,1.999999982875587e-08,119991255.5743864,129.99992712978656,-0.04969050130787507,119234.00006192425,337.69309297670736,-0.040459527247407354,233244.2473876741,429.58629101261,-0.049690501309281744,0.049690501309281744,-0.04045950724475422,0.04045950724475422,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-1.8102272310228281e-12,1.6906003574013777e-12,89,-1.5804925371185993e-06,-1.1063447759828968e-06,-2.000004965205491e-08,220.3,130,337,-2.000212626940999e-08,89.0,339,427,0.32599011824461455,-168520.59331142562,168520.5933125716,168520.59331295703,3.8542364810730644e-07,0,-0.6359999800013805,119971480.75097182,129.99976233959143,0.47628920359439436,121837.86801817562,337.8370749241865,-0.16541860746060186,235425.02109295654,429.6737283681401,-0.159710796406339,0.159710796406339,-0.1654185874558078,0.1654185874558078,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,-0.63599999000138,0.63599999000138,220.3,207,1374486.9263915524,1490766.7314442,1.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-1.9788674567853102e-12,1.5487978305254944e-12,89,-1.7277233089131662e-06,-1.2094063162390188e-06,0.6359999800006602,220.3,130,337,-2.0003083796229285e-08,89.0,339,427,0.5186243614651183,-268102.8663402457,-1222663.8651027156,4.2159723136669986e-07,1222663.8651031372,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6059346301172766e-12,-1.950778698872868e-12,-1.1063447759828363e-06,-2.0000099463288064e-08,-2.0002301889571914e-08,-0.040459507244929846,-0.04969050130933156,168520.5933125716,-168520.59331142562,0.0,0.0,0.0,0.0,0.0,0.0,-0.63599999000138,0.6359999900010199,1490766.7314442,0.0,0.0,0.0,1.1537598804754627e-12,-2.5138155539425223e-12,-1.2094063162389146e-06,0.6359999800003001,-2.0003653889275288e-08,-0.16541858745637789,-0.15971079640669913,-1222663.8651027156,-268102.8663402457
16,16,1.9999999829618893e-08,119991255.5744584,129.99992712978715,-0.057330971458963514,119027.60856467199,337.6816804741471,-0.03949047665876491,233102.08167170256,429.58059092817604,-0.057330971461220674,0.057330971461220674,-0.03949045665526044,0.03949045665526044,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-2.66196948613262e-12,2.5415116448300766e-12,89,-2.3241403271764626e-06,-1.6268982290235669e-06,-2.0000049652349104e-08,220.3,130,337,-2.0002977598753068e-08,89.0,339,427,0.11821470325038548,-61111.091456138085,61111.09145780463,61111.09145817351,3.688846161194905e-07,0,1.9999999832977547e-08,119971480.75104383,129.99976233959202,-0.1641365859206296,121246.97630886135,337.80440132457016,-0.18074884198652916,234774.32526180503,429.6476389474026,-0.16413658591946778,0.16413658591946778,-0.18074882198261222,0.18074882198261222,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-1.105050446305186e-12,6.758488761853724e-13,89,-9.6480226549937e-07,-6.753615858510191e-07,-2.000035997465366e-08,220.3,130,337,-2.0002206659871613e-08,89.0,339,427,0.32243077805000214,-166680.59237948904,166680.59238020304,166680.59238043072,2.2768351148167705e-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4564295032582087e-12,-2.8021082142839877e-12,-1.6268982290235893e-06,-2.000009946384732e-08,-2.0003153218699966e-08,-0.03949045665543607,-0.05733097146127049,61111.09145780463,-61111.091456138085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.812476378112506e-13,-1.640424000756567e-12,-6.753615858517495e-07,-2.00007200926196e-08,-2.0002776752818212e-08,-0.18074882198318232,-0.1641365859198279,166680.59238020304,-166680.59237948904
17,17,1.9999999829738245e-08,119991255.5745304,129.99992712978775,-0.05919582477491375,118814.5035954823,337.6698967474002,-0.03789000122140783,232965.67766730548,429.57512185754325,-0.05919582478106694,0.05919582478106694,-0.037889981214003665,0.037889981214003665,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-6.563539561981295e-12,6.4393834809675075e-12,89,-5.730562793540589e-06,-4.011393955478399e-06,-2.000004965259893e-08,220.3,130,337,-2.0006877306330715e-08,89.0,339,427,0.0,0.0,4.0410426653708344e-06,4.261918579551382e-06,2.2087591418062877e-07,0,1.99999998326813e-08,119971480.75111583,129.99976233959262,-0.17459104250255297,120618.44855585216,337.76964662446886,-0.1905718376874929,234088.26664613007,429.62013166824386,-0.174591042501634,0.174591042501634,-0.19057181768333167,0.19057181768333167,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-1.3457225272213862e-12,9.162660954566061e-13,89,-1.1749306955588847e-06,-8.224514868908944e-07,-2.0000359974581206e-08,220.3,130,337,-2.0002450955898827e-08,89.0,339,427,0.11917990763987955,-61610.05387031612,61610.053871178214,61610.05387140125,2.2303543344855595e-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3524564862504574e-12,-6.701816028020627e-12,-4.011393955478354e-06,-2.0000099464368084e-08,-2.000705292604831e-08,-0.03788998121417928,-0.059195824781116756,4.041042665370911e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.215351869910739e-13,-1.880975364422056e-12,-8.224514868907326e-07,-2.000072009245578e-08,-2.0003021048765213e-08,-0.19057181768390177,-0.17459104250199411,61610.053871178214,-61610.05387031612
18,18,1.9999999830023176e-08,119991255.5746024,129.99992712978835,0.5555071200514972,120814.32922766768,337.78047792662215,-0.6604332984416594,230588.1177929155,429.4797944297008,-0.06950460297681736,0.06950460297681736,-0.03542155541216789,0.03542155541216789,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-0.6250117230286135,0.6250117230285638,89,-545691.4852590521,-381984.0396813365,-2.0000049652980852e-08,220.3,130,337,-0.6250117430289647,89.0,339,427,0.0,0.0,381984.0396813662,381984.0396815651,1.9893412651219895e-07,0,1.9999999832359994e-08,119971480.75118783,129.99976233959325,-0.18201639714512116,119963.18952612972,337.733413807449,-0.22037658670610186,233294.91093398808,429.5883223496996,-0.18201639714443693,0.18201639714443693,-0.22037656670170555,0.22037656670170555,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-1.580914960464134e-12,1.1511797442805316e-12,89,-1.3802749021295723e-06,-9.661924314904434e-07,-2.0000359974506948e-08,220.3,130,337,-2.000268602477768e-08,89.0,339,427,0.006622110122458065,-3423.299861840627,3423.2998628464625,3423.2998630653565,2.188940331464955e-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6250117230285139,-0.6250117230287892,-381984.0396813365,-2.0000099465066655e-08,-0.6250117430291403,-0.03542155541234351,-0.06950460297686717,381984.0396813662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.563042175623336e-13,-2.116044284870049e-12,-9.661924314903157e-07,-2.000072009229606e-08,-2.000325611758018e-08,-0.22037656670227565,-0.18201639714479706,3423.2998628464625,-3423.299861840627
19,19,1.9999999830130114e-08,119991255.5746744,129.99992712978894,-0.058348479153618814,120604.27470271465,337.76886287544147,-0.035035073893564694,230461.99152689867,429.4747374413775,-0.05834847918944802,0.05834847918944802,-0.03503505385645489,0.03503505385645489,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-3.628378458260806e-11,3.613017129528755e-11,89,-3.167901663524806e-05,-2.2175311644673738e-05,-2.000004965269351e-08,220.3,130,337,-2.0036582941534767e-08,89.0,339,427,0.0,0.0,2.220496035143697e-05,2.240758858626605e-05,2.0262823482905982e-07,0,1.9999999831686232e-08,119971480.75125983,129.99976233959384,-0.15444597042602948,119407.18403259602,337.70266925545445,-0.2398167378322196,232431.5706777921,429.5537070254495,-0.1544459704259259,0.1544459704259259,-0.23981671782724223,0.23981671782724223,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-2.1622569608670574e-12,1.7320452433804427e-12,89,-1.8878388785533609e-06,-1.3214872149869824e-06,-2.00003599743745e-08,220.3,130,337,-2.0003267102568943e-08,89.0,339,427,0.0,0.0,1.3511303794553777e-06,1.6038988993195745e-06,2.5276851986478944e-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6028476837261356e-11,-3.6407451213930984e-11,-2.2175311644673802e-05,-2.0000099464555014e-08,-2.0036758561234824e-08,-0.035035053856630506,-0.058348479189497836,2.2204960351436943e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3369402384486438e-12,-2.6971221404574568e-12,-1.3214872149865018e-06,-2.0000720092087604e-08,-2.0003837195320877e-08,-0.23981671782781233,-0.15444597042628602,1.3511303794559695e-06,0.0
20,20,1.9999999830330583e-08,119991255.5747464,129.99992712978954,-0.05936851843039779,120390.54803636522,337.75704477169495,-0.03381775056583258,230340.2476248617,429.4698561623983,-0.05936851843713819,0.05936851843713819,-0.03381773055784067,0.03381773055784067,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-7.151570531423148e-12,7.026864948041636e-12,89,-6.24396684873239e-06,-4.370776794112618e-06,-2.000004965263364e-08,220.3,130,337,-2.000746506221341e-08,89.0,339,427,0.0,0.0,4.400425494337788e-06,4.618291317941248e-06,2.1786582360362969e-07,0,1.999999983107031e-08,119971480.75133182,129.99976233959444,-0.16855872593817245,118800.3726192186,337.66911536926716,-0.22820413898570668,231610.03577744355,429.5207678722544,-0.1685587259378006,0.1685587259378006,-0.2282041189809978,0.2282041189809978,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-1.893619817151267e-12,1.463665690573034e-12,89,-1.6532944294640088e-06,-1.15730610062454e-06,-2.000035997428013e-08,220.3,130,337,-2.0002998595309105e-08,89.0,339,427,0.0,0.0,1.1869492682237757e-06,1.6661813143081455e-06,4.792320460845614e-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.939663386492506e-12,-7.289571778976754e-12,-4.370776794112507e-06,-2.000009946443425e-08,-2.0007640682012417e-08,-0.03381773055801628,-0.059368518437188,4.400425494337955e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0686890646385095e-12,-2.428614912534071e-12,-1.1573061006243118e-06,-2.0000720091931915e-08,-2.0003568688017622e-08,-0.2282041189815679,-0.16855872593816074,1.1869492682239665e-06,0.0
21,21,1.999999983052231e-08,119991255.5748184,129.99992712979017,-0.03645612658183664,120259.30598067062,337.74978768835297,-0.03304893363112803,230221.27146378963,429.4650858550207,-0.036456126584618755,0.036456126584618755,-0.033048913627098164,0.033048913627098164,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-3.1876187984553915e-12,3.066694882780463e-12,89,-2.7830795693818623e-06,-1.9481556985672214e-06,-2.000004965262418e-08,220.3,130,337,-2.0003503003214168e-08,89.0,339,427,0.0,0.0,1.9778043947961555e-06,2.4107208758598173e-06,4.329164810638274e-07,0,1.99999998304514e-08,119971480.75140382,129.99976233959504,-0.12558872815701194,118348.25319785335,337.6441152402764,-0.1778675092309747,230969.71274421204,429.49509434520525,-0.12558872815645775,0.12558872815645775,-0.17786748922644835,0.17786748922644835,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-1.710998349706284e-12,1.2812226699668818e-12,89,-1.4938494213957774e-06,-1.0456945949768182e-06,-2.0000359974196795e-08,220.3,130,337,-2.00028160624186e-08,89.0,339,427,0.0,0.0,1.0753377627361005e-06,1.5716853568846124e-06,4.963475941484988e-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9813834962403934e-12,-3.3275127285565674e-12,-1.948155698567098e-06,-2.0000099464415025e-08,-2.000367862305198e-08,-0.03304891362727378,-0.03645612658466857,1.9778043947963194e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.863354314952799e-13,-2.2460820464031796e-12,-1.045694594976712e-06,-2.0000720091798944e-08,-2.0003386155093918e-08,-0.17786748922701845,-0.12558872815681787,1.0753377627360865e-06,0.0
22,22,1.999999983071106e-08,119991255.5748904,129.99992712979076,-0.03920929369827488,120118.15252335682,337.74198254999004,-0.033963322385491726,230099.00350320185,429.460183564098,-0.03920929370018122,0.03920929370018122,-0.0339633023823385,0.0339633023823385,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-2.3105566663758815e-12,2.190485689601218e-12,89,-2.0173252440167147e-06,-1.4121276708115929e-06,-2.0000049652633945e-08,220.3,130,337,-2.0002626365387955e-08,89.0,339,427,0.0,0.0,1.441776359576052e-06,1.9106824252692564e-06,4.689060656933214e-07,0,1.999999982982652e-08,119971480.75147583,129.99976233959563,-0.09694594588478339,117999.24779266813,337.6248168431366,-0.135496037226314,230481.9270101973,429.4755367475763,-0.09694594588410142,0.09694594588410142,-0.13549601722191557,0.13549601722191557,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-1.583045617296934e-12,1.1533877638544858e-12,89,-1.382135149016301e-06,-9.674946043114264e-07,-2.0000359974121416e-08,220.3,130,337,-2.0002688171333163e-08,89.0,339,427,0.0,0.0,9.971377754520844e-07,2.019999246310661e-06,1.022861470857758e-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.105601454499127e-12,-2.4508748709243616e-12,-1.4121276708114815e-06,-2.0000099464426278e-08,-2.000280198524447e-08,-0.03396330238251412,-0.03920929370023103,1.4417763595761677e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.585584937605749e-13,-2.1181909757745836e-12,-9.67494604311844e-07,-2.000072009168351e-08,-2.0003258263987575e-08,-0.13549601722248567,-0.09694594588446154,9.971377754512651e-07,0.0
23,23,1.9999999830894114e-08,119991255.57496239,129.99992712979136,-0.0361538120101182,119988.0,337.734785646438,-0.03389050082543612,229977.0,429.4552917842928,-0.03615381201174397,0.03615381201174397,-0.033890480822563726,0.033890480822563726,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-2.029588292149092e-12,1.90978846493594e-12,89,-1.7720145185186659e-06,-1.2404101629631146e-06,-2.0000049652649645e-08,220.3,130,337,-2.000234553375974e-08,89.0,339,427,0.0,0.0,1.270058847884112e-06,2.071274066513556e-06,8.012152186290155e-07,0,-0.6359999800007271,119969191.15154782,129.99974325959624,0.5524308354033741,119988.0,337.73478564643807,-0.14025814165753642,229977.0,429.4552917842928,-0.08356916459683643,0.08356916459683643,-0.14025812165261167,0.14025812165261167,0.0,0.0,89.0,89,0.0,0.0,0.0,0.0,0.0,89.0,89,0.0,0.0,0.0,-0.635999990000727,0.635999990000727,220.3,207,1374486.9263901412,1490766.7314426696,1.0,0.0,0.0,220.3,207,0.0,0.0,0.0,-2.1095844018631065e-12,1.6793910978564105e-12,89,-1.8418509882803355e-06,-1.2892956917960528e-06,0.6359999800000068,220.3,130,337,-2.0003214449989234e-08,89.0,339,427,0.0,0.0,-1490766.7314413607,6.747575172298916e-07,1490766.7314420354,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8250393786873463e-12,-2.1700432225665358e-12,-1.240410162963354e-06,-2.0000099464444972e-08,-2.0002521153624466e-08,-0.03389048082273934,-0.03615381201179378,1.2700588478836822e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.635999990000727,0.6359999900003669,1490766.7314426696,0.0,0.0,0.0,1.2842917341931718e-12,-2.6444696020186593e-12,-1.2892956917959584e-06,0.6359999799996467,-2.0003784542636556e-08,-0.14025812165318177,-0.08356916459719654,-1490766.7314413607,0.0
